CaseID,LodgedMonth,CaseType,Region,Channel,Status,DaysOpen,ExposureAUD,DocumentCount,MissingEvidence,ReviewFlag
CSE-200087,2026-05,Payment dispute,WA,Branch,Reopened,128,367597,4,None,N
CSE-200088,2026-08,Loan application,SA,Online,Open,92,537657,8,None,N
CSE-200089,2026-03,Payment dispute,SA,Branch,Assessing,79,385396,5,None,N
CSE-200090,2026-04,Loan application,NSW,Online,Resolved,162,629067,15,Transaction detail,N
CSE-200091,2026-02,Financial crime review,VIC,Broker,Awaiting Evidence,11,303836,13,None,N
CSE-200092,2026-08,Payment dispute,NZ,Broker,Resolved,101,847342,10,None,N
CSE-200093,2026-04,Loan application,VIC,Phone,Open,127,352081,12,Transaction detail,N
CSE-200094,2026-05,Payment dispute,WA,Online,Assessing,222,330598,4,Transaction detail,Y
CSE-200095,2026-03,Loan application,QLD,Broker,Open,51,558781,10,Transaction detail,N
CSE-200096,2026-09,Hardship request,QLD,Broker,Assessing,21,668449,17,Transaction detail,N
CSE-200097,2026-07,Financial crime review,SA,Phone,Resolved,24,511317,9,None,N
CSE-200098,2026-04,Payment dispute,WA,Phone,Resolved,71,497161,16,None,N
CSE-200099,2026-02,Financial crime review,SA,Broker,Awaiting Evidence,109,664473,9,None,N
CSE-200100,2026-09,Complaint,QLD,Phone,Assessing,128,850438,5,Authority to act,N
CSE-200101,2026-07,Loan application,VIC,Branch,Declined,80,815105,6,None,N
CSE-200102,2026-01,Loan application,NZ,Online,Awaiting Evidence,118,677090,18,Statement of position,N
CSE-200103,2026-12,Financial crime review,NZ,Phone,Resolved,240,427106,19,Identity documents,N
CSE-200104,2026-12,Hardship request,VIC,Phone,Assessing,9,165119,9,None,N
CSE-200105,2026-07,Payment dispute,QLD,Online,Reopened,25,333236,18,Statement of position,N
CSE-200106,2026-06,Payment dispute,NZ,Online,Resolved,164,791517,18,None,N
CSE-200107,2026-08,Hardship request,NSW,Broker,Open,54,900525,18,None,Y
CSE-200108,2026-02,Complaint,NZ,Branch,Open,30,132095,18,None,N
CSE-200109,2026-05,Complaint,NSW,Online,Assessing,26,812577,11,Income evidence,N
CSE-200110,2026-10,Hardship request,VIC,Phone,Resolved,85,164944,10,Identity documents,N
CSE-200111,2026-04,Hardship request,NZ,Branch,Reopened,81,150301,13,Income evidence,N
CSE-200112,2026-08,Complaint,SA,Broker,Awaiting Evidence,24,111733,3,None,N
CSE-200113,2026-07,Hardship request,WA,Broker,Resolved,88,775031,16,None,N
CSE-200114,2026-11,Payment dispute,VIC,Broker,Resolved,71,572050,6,Income evidence,N
CSE-200115,2026-04,Financial crime review,QLD,Online,Awaiting Evidence,108,616104,7,None,N
CSE-200116,2026-10,Hardship request,QLD,Branch,Assessing,154,558409,15,None,N
CSE-200117,2026-01,Loan application,SA,Broker,Resolved,120,531166,6,None,N
CSE-200118,2026-04,Complaint,QLD,Broker,Resolved,236,412923,19,Transaction detail,N
CSE-200119,2026-12,Complaint,WA,Online,Open,240,551879,14,Statement of position,Y
CSE-200120,2026-03,Loan application,SA,Phone,Reopened,150,40945,5,None,N
CSE-200121,2026-04,Financial crime review,NZ,Broker,Declined,109,659113,2,None,N
CSE-200122,2026-07,Hardship request,NSW,Branch,Resolved,232,290574,5,Income evidence,N
CSE-200123,2026-10,Loan application,SA,Broker,Assessing,240,500763,15,Income evidence,N
CSE-200124,2026-07,Hardship request,SA,Online,Awaiting Evidence,153,34212,9,None,N
CSE-200125,2026-03,Financial crime review,NZ,Phone,Open,196,660350,8,Transaction detail,N
CSE-200126,2026-03,Financial crime review,QLD,Online,Resolved,30,495193,12,Transaction detail,N
CSE-200127,2026-04,Complaint,QLD,Online,Resolved,185,790553,9,Income evidence,Y
CSE-200128,2026-07,Loan application,VIC,Online,Open,157,376420,14,None,N
CSE-200129,2026-03,Financial crime review,WA,Phone,Assessing,30,537372,12,Income evidence,N
CSE-200130,2026-01,Payment dispute,QLD,Branch,Awaiting Evidence,148,729941,9,None,N
CSE-200131,2026-02,Hardship request,WA,Broker,Open,161,532773,13,Transaction detail,N
CSE-200132,2026-11,Payment dispute,WA,Phone,Awaiting Evidence,121,184670,17,None,N
CSE-200133,2026-11,Complaint,SA,Broker,Declined,99,677933,7,Income evidence,N
CSE-200134,2026-08,Complaint,VIC,Online,Reopened,240,644314,11,Identity documents,N
CSE-200135,2026-09,Complaint,SA,Phone,Assessing,142,588869,18,None,N
CSE-200136,2026-10,Financial crime review,WA,Branch,Assessing,21,695576,16,None,Y
CSE-200137,2026-03,Loan application,QLD,Broker,Resolved,13,385427,19,None,N
CSE-200138,2026-11,Loan application,NSW,Branch,Resolved,3,891697,16,None,N
CSE-200139,2026-10,Payment dispute,QLD,Phone,Resolved,28,775324,12,Income evidence,N
CSE-200140,2026-08,Loan application,QLD,Phone,Open,139,562634,8,None,N
CSE-200141,2026-03,Financial crime review,NZ,Broker,Resolved,50,46310,6,None,N
CSE-200142,2026-07,Loan application,VIC,Online,Assessing,206,743739,18,Income evidence,N
CSE-200143,2026-04,Hardship request,NZ,Branch,Resolved,240,173110,10,Transaction detail,N
CSE-200144,2026-09,Complaint,NZ,Phone,Resolved,239,538348,5,Authority to act,N
CSE-200145,2026-06,Payment dispute,WA,Phone,Resolved,162,252195,9,None,N
CSE-200146,2026-12,Financial crime review,WA,Online,Resolved,157,227193,6,None,N
CSE-200147,2026-05,Complaint,NZ,Phone,Awaiting Evidence,12,891777,4,Transaction detail,N
CSE-200148,2026-05,Complaint,WA,Broker,Resolved,50,630316,6,Income evidence,N
CSE-200149,2026-03,Loan application,VIC,Broker,Open,27,101114,3,None,N
CSE-200150,2026-03,Loan application,WA,Phone,Awaiting Evidence,135,78705,2,Authority to act,N
CSE-200151,2026-03,Hardship request,NSW,Phone,Open,96,835313,9,None,N
CSE-200152,2026-03,Payment dispute,WA,Online,Reopened,83,307810,14,None,N
CSE-200153,2026-08,Loan application,QLD,Broker,Resolved,93,382073,2,Identity documents,N
CSE-200154,2026-05,Loan application,NSW,Online,Resolved,181,810048,16,Income evidence,N
CSE-200155,2026-08,Financial crime review,NSW,Online,Assessing,204,136346,7,Transaction detail,N
CSE-200156,2026-06,Hardship request,QLD,Online,Resolved,33,558372,17,Authority to act,N
CSE-200157,2026-09,Complaint,SA,Branch,Resolved,68,733527,4,Statement of position,N
CSE-200158,2026-08,Complaint,SA,Branch,Resolved,31,684905,4,None,N
CSE-200159,2026-08,Financial crime review,VIC,Broker,Reopened,240,654823,3,Income evidence,N
CSE-200160,2026-02,Payment dispute,NSW,Phone,Reopened,98,585521,14,None,N
CSE-200161,2026-02,Hardship request,NSW,Online,Awaiting Evidence,144,744387,11,Transaction detail,N
CSE-200162,2026-03,Loan application,QLD,Branch,Resolved,52,442069,19,Statement of position,N
CSE-200163,2026-12,Complaint,QLD,Broker,Resolved,15,446108,13,Income evidence,N
CSE-200164,2026-07,Payment dispute,SA,Branch,Resolved,93,514288,5,Transaction detail,N
CSE-200165,2026-03,Payment dispute,NZ,Phone,Resolved,54,715174,5,None,N
CSE-200166,2026-06,Complaint,WA,Online,Assessing,37,668427,19,None,N
CSE-200167,2026-01,Hardship request,SA,Branch,Resolved,22,413656,8,None,N
CSE-200168,2026-10,Payment dispute,WA,Branch,Open,109,358095,19,None,N
CSE-200169,2026-04,Complaint,NZ,Branch,Open,127,467912,17,Transaction detail,N
CSE-200170,2026-05,Financial crime review,VIC,Online,Resolved,50,138559,18,Income evidence,N
CSE-200171,2026-10,Complaint,NZ,Broker,Resolved,6,640593,19,Statement of position,N
CSE-200172,2026-02,Payment dispute,SA,Branch,Resolved,39,722923,12,Income evidence,N
CSE-200173,2026-06,Loan application,SA,Phone,Assessing,177,153129,13,Transaction detail,N
CSE-200174,2026-06,Loan application,NSW,Broker,Awaiting Evidence,61,603532,12,None,Y
CSE-200175,2026-05,Hardship request,NSW,Phone,Resolved,178,834276,3,Authority to act,N
CSE-200176,2026-11,Hardship request,QLD,Phone,Awaiting Evidence,78,687749,18,Authority to act,N
CSE-200177,2026-03,Complaint,SA,Branch,Open,91,245766,9,None,N
CSE-200178,2026-07,Hardship request,VIC,Branch,Declined,237,330904,10,Statement of position,N
CSE-200179,2026-02,Loan application,SA,Branch,Assessing,174,274521,13,Transaction detail,Y
CSE-200180,2026-08,Loan application,NSW,Online,Assessing,137,634479,16,None,N
CSE-200181,2026-09,Payment dispute,NSW,Phone,Awaiting Evidence,106,230873,17,None,N
CSE-200182,2026-05,Payment dispute,NSW,Online,Resolved,9,515453,2,None,N
CSE-200183,2026-08,Payment dispute,QLD,Broker,Assessing,93,174864,6,Statement of position,N
CSE-200184,2026-07,Financial crime review,NZ,Online,Awaiting Evidence,13,809015,15,Income evidence,N
CSE-200185,2026-05,Complaint,NSW,Branch,Resolved,161,74960,5,None,N
CSE-200186,2026-10,Hardship request,QLD,Broker,Declined,48,702468,11,None,N
CSE-200187,2026-08,Payment dispute,SA,Branch,Resolved,13,641927,13,None,N
CSE-200188,2026-06,Hardship request,NZ,Online,Declined,109,568371,13,None,Y
CSE-200189,2026-09,Hardship request,VIC,Broker,Resolved,214,634992,10,Income evidence,N
CSE-200190,2026-03,Complaint,WA,Broker,Declined,96,539040,16,None,N
CSE-200191,2026-06,Loan application,SA,Online,Resolved,124,340112,14,None,N
CSE-200192,2026-09,Financial crime review,WA,Branch,Assessing,126,660609,5,None,N
CSE-200193,2026-06,Hardship request,SA,Broker,Resolved,60,656178,19,Income evidence,N
CSE-200194,2026-03,Complaint,QLD,Branch,Awaiting Evidence,4,308850,9,Identity documents,N
CSE-200195,2026-09,Financial crime review,NZ,Branch,Open,44,757705,7,None,N
CSE-200196,2026-12,Hardship request,QLD,Branch,Resolved,13,679079,6,Transaction detail,N
CSE-200197,2026-03,Loan application,SA,Phone,Resolved,217,836327,8,Transaction detail,N
CSE-200198,2026-03,Hardship request,WA,Online,Awaiting Evidence,138,73262,3,Authority to act,N
CSE-200199,2026-11,Financial crime review,NSW,Online,Declined,81,197145,17,Income evidence,N
CSE-200200,2026-05,Payment dispute,SA,Branch,Declined,67,175271,18,None,N
CSE-200201,2026-07,Loan application,QLD,Branch,Awaiting Evidence,56,806895,3,Transaction detail,N
CSE-200202,2026-06,Financial crime review,NSW,Broker,Declined,108,676850,16,Authority to act,N
CSE-200203,2026-06,Loan application,QLD,Branch,Resolved,57,573315,9,Transaction detail,Y
CSE-200204,2026-07,Loan application,NSW,Online,Resolved,240,848597,10,Transaction detail,N
CSE-200205,2026-11,Hardship request,NZ,Phone,Awaiting Evidence,71,139591,4,None,N
CSE-200206,2026-08,Loan application,SA,Phone,Declined,21,8045,4,Income evidence,N
CSE-200207,2026-12,Payment dispute,VIC,Branch,Declined,89,511966,17,None,N
CSE-200208,2026-08,Hardship request,NSW,Broker,Open,37,326768,14,Statement of position,N
CSE-200209,2026-05,Loan application,NSW,Phone,Reopened,73,35431,3,Statement of position,N
CSE-200210,2026-08,Payment dispute,VIC,Online,Reopened,52,392313,2,None,N
CSE-200211,2026-09,Loan application,NSW,Phone,Resolved,89,729150,19,Authority to act,N
CSE-200212,2026-08,Complaint,QLD,Online,Assessing,60,289864,14,Identity documents,N
CSE-200213,2026-07,Loan application,NSW,Broker,Awaiting Evidence,154,66220,2,Transaction detail,N
CSE-200214,2026-01,Payment dispute,SA,Online,Resolved,40,689626,2,None,N
CSE-200215,2026-09,Loan application,QLD,Online,Assessing,93,561985,6,Identity documents,N
CSE-200216,2026-08,Complaint,VIC,Branch,Open,11,749394,8,None,N
CSE-200217,2026-01,Payment dispute,NZ,Broker,Reopened,106,172872,16,Transaction detail,N
CSE-200218,2026-08,Hardship request,WA,Broker,Assessing,3,892804,6,None,N
CSE-200219,2026-06,Complaint,NSW,Branch,Resolved,193,75169,15,Identity documents,N
CSE-200220,2026-08,Financial crime review,VIC,Online,Resolved,33,362590,17,None,N
CSE-200221,2026-09,Financial crime review,WA,Online,Awaiting Evidence,151,181700,16,Income evidence,N
CSE-200222,2026-04,Complaint,VIC,Broker,Assessing,219,57257,15,Transaction detail,N
CSE-200223,2026-10,Payment dispute,WA,Online,Resolved,190,122796,11,Authority to act,N
CSE-200224,2026-12,Loan application,NZ,Phone,Resolved,174,559400,3,Income evidence,N
CSE-200225,2026-01,Complaint,VIC,Branch,Assessing,193,239923,7,Statement of position,Y
CSE-200226,2026-05,Complaint,VIC,Broker,Declined,73,762186,5,Statement of position,N
CSE-200227,2026-07,Payment dispute,QLD,Online,Open,228,347451,9,Identity documents,N
CSE-200228,2026-09,Payment dispute,SA,Phone,Awaiting Evidence,44,414353,17,None,N
CSE-200229,2026-01,Payment dispute,VIC,Branch,Resolved,117,497010,6,Transaction detail,N
CSE-200230,2026-04,Financial crime review,NZ,Branch,Assessing,104,560225,4,None,N
CSE-200231,2026-06,Financial crime review,WA,Branch,Open,147,786033,10,Transaction detail,N
CSE-200232,2026-01,Complaint,WA,Broker,Assessing,102,529108,9,None,N
CSE-200233,2026-12,Loan application,SA,Phone,Reopened,186,227013,12,Income evidence,N
CSE-200234,2026-10,Financial crime review,VIC,Online,Resolved,223,795990,7,Statement of position,N
CSE-200235,2026-04,Complaint,NZ,Broker,Resolved,155,652763,19,None,N
CSE-200236,2026-07,Financial crime review,QLD,Phone,Resolved,144,818659,11,None,N
CSE-200237,2026-05,Hardship request,VIC,Branch,Reopened,190,388781,15,Transaction detail,N
CSE-200238,2026-03,Payment dispute,VIC,Branch,Resolved,77,417485,16,Income evidence,N
CSE-200239,2026-04,Hardship request,SA,Branch,Awaiting Evidence,134,294234,9,None,N
CSE-200240,2026-12,Complaint,NZ,Online,Resolved,21,371890,15,Identity documents,N
CSE-200241,2026-10,Loan application,VIC,Online,Resolved,240,74914,10,Identity documents,N
CSE-200242,2026-03,Payment dispute,QLD,Online,Awaiting Evidence,3,897624,19,None,N
CSE-200243,2026-03,Hardship request,QLD,Phone,Resolved,195,358039,8,Authority to act,N
CSE-200244,2026-09,Complaint,VIC,Phone,Declined,70,697986,12,None,N
CSE-200245,2026-11,Payment dispute,VIC,Phone,Resolved,192,124537,2,Income evidence,N
CSE-200246,2026-11,Payment dispute,WA,Broker,Open,72,917977,15,None,N
CSE-200247,2026-02,Financial crime review,VIC,Branch,Resolved,98,865336,19,Authority to act,N
CSE-200248,2026-11,Payment dispute,WA,Phone,Resolved,126,557029,12,None,N
CSE-200249,2026-11,Payment dispute,NZ,Online,Reopened,144,72275,15,None,N
CSE-200250,2026-02,Hardship request,QLD,Phone,Open,56,689615,10,Authority to act,N
CSE-200251,2026-12,Payment dispute,WA,Online,Reopened,27,399082,4,None,N
CSE-200252,2026-03,Complaint,NSW,Broker,Assessing,125,51802,3,Identity documents,N
CSE-200253,2026-11,Hardship request,SA,Phone,Assessing,240,563903,3,Transaction detail,N
CSE-200254,2026-01,Loan application,SA,Broker,Resolved,240,912614,16,Transaction detail,N
CSE-200255,2026-04,Financial crime review,QLD,Branch,Awaiting Evidence,60,822871,4,None,N
CSE-200256,2026-08,Financial crime review,SA,Online,Reopened,47,10133,13,None,N
CSE-200257,2026-01,Hardship request,QLD,Broker,Reopened,118,4604,8,Identity documents,N
CSE-200258,2026-06,Financial crime review,VIC,Online,Open,209,319284,11,Transaction detail,N
CSE-200259,2026-04,Hardship request,SA,Phone,Open,53,858746,12,Income evidence,N
CSE-200260,2026-02,Hardship request,QLD,Broker,Resolved,103,281191,12,None,N
CSE-200261,2026-07,Payment dispute,NSW,Broker,Resolved,14,538170,18,None,Y
CSE-200262,2026-10,Payment dispute,NZ,Broker,Reopened,240,13196,13,Identity documents,N
CSE-200263,2026-04,Financial crime review,NZ,Online,Resolved,133,844369,13,None,N
CSE-200264,2026-01,Complaint,VIC,Broker,Resolved,99,756105,4,Identity documents,N
CSE-200265,2026-02,Hardship request,VIC,Phone,Declined,133,199154,11,Identity documents,N
CSE-200266,2026-08,Complaint,VIC,Online,Assessing,30,528926,15,None,N
CSE-200267,2026-12,Financial crime review,NSW,Phone,Open,18,292227,3,None,N
CSE-200268,2026-12,Complaint,QLD,Online,Open,11,174823,7,None,N
CSE-200269,2026-10,Financial crime review,QLD,Branch,Assessing,94,50284,18,None,N
CSE-200270,2026-06,Payment dispute,SA,Broker,Resolved,121,492349,19,Transaction detail,Y
CSE-200271,2026-08,Complaint,NZ,Broker,Awaiting Evidence,206,618636,5,Income evidence,N
CSE-200272,2026-07,Complaint,NZ,Online,Resolved,114,676776,6,None,N
CSE-200273,2026-06,Hardship request,NZ,Branch,Assessing,27,652320,11,None,N
CSE-200274,2026-09,Loan application,NSW,Branch,Resolved,195,127492,15,Statement of position,N
CSE-200275,2026-02,Complaint,NSW,Branch,Assessing,78,72232,15,None,N
CSE-200276,2026-10,Hardship request,SA,Online,Assessing,139,69609,15,Identity documents,N
CSE-200277,2026-03,Complaint,QLD,Broker,Awaiting Evidence,53,504417,4,Income evidence,N
CSE-200278,2026-03,Loan application,VIC,Phone,Resolved,22,288727,6,Identity documents,N
CSE-200279,2026-10,Complaint,WA,Phone,Awaiting Evidence,153,262037,4,None,Y
CSE-200280,2026-03,Financial crime review,SA,Branch,Awaiting Evidence,13,352664,8,None,N
CSE-200281,2026-11,Hardship request,WA,Broker,Assessing,27,128209,4,None,N
CSE-200282,2026-04,Hardship request,QLD,Broker,Resolved,33,770105,4,None,N
CSE-200283,2026-07,Financial crime review,QLD,Broker,Declined,240,600667,15,Transaction detail,N
CSE-200284,2026-03,Payment dispute,QLD,Phone,Resolved,30,484813,5,None,N
CSE-200285,2026-03,Payment dispute,NSW,Online,Open,69,105905,19,None,Y
CSE-200286,2026-02,Hardship request,NSW,Broker,Awaiting Evidence,69,422725,19,Identity documents,N
CSE-200287,2026-05,Hardship request,WA,Broker,Resolved,80,17787,9,Income evidence,Y
CSE-200288,2026-07,Financial crime review,NZ,Online,Open,25,510863,13,Statement of position,N
CSE-200289,2026-07,Hardship request,QLD,Phone,Awaiting Evidence,61,911614,2,Identity documents,N
CSE-200290,2026-07,Financial crime review,NZ,Broker,Awaiting Evidence,146,684207,2,None,N
CSE-200291,2026-01,Complaint,SA,Broker,Resolved,96,709092,11,None,N
CSE-200292,2026-08,Complaint,VIC,Branch,Declined,100,67020,19,None,N
CSE-200293,2026-10,Hardship request,VIC,Branch,Assessing,181,292557,16,Authority to act,N
CSE-200294,2026-09,Complaint,SA,Phone,Resolved,132,508070,4,None,Y
CSE-200295,2026-02,Hardship request,WA,Phone,Resolved,70,654868,4,None,N
CSE-200296,2026-09,Hardship request,QLD,Phone,Declined,124,342541,8,None,N
CSE-200297,2026-10,Payment dispute,VIC,Branch,Resolved,52,154872,3,Identity documents,N
CSE-200298,2026-01,Financial crime review,QLD,Branch,Assessing,102,895411,9,None,N
CSE-200299,2026-01,Payment dispute,SA,Broker,Resolved,80,629228,14,None,N
CSE-200300,2026-07,Financial crime review,WA,Online,Resolved,107,698555,6,None,N
CSE-200301,2026-02,Hardship request,NSW,Online,Resolved,22,729506,11,Statement of position,N
CSE-200302,2026-02,Payment dispute,SA,Phone,Open,143,209552,14,None,N
CSE-200303,2026-02,Loan application,WA,Broker,Awaiting Evidence,128,373015,6,Income evidence,N
CSE-200304,2026-04,Payment dispute,NSW,Online,Resolved,115,87303,9,Transaction detail,Y
CSE-200305,2026-11,Hardship request,WA,Online,Awaiting Evidence,134,484365,6,Transaction detail,N
CSE-200306,2026-03,Loan application,VIC,Phone,Awaiting Evidence,87,179465,18,None,N
CSE-200307,2026-10,Payment dispute,VIC,Branch,Assessing,211,67645,13,Transaction detail,N
CSE-200308,2026-06,Financial crime review,NZ,Branch,Resolved,7,13962,5,None,N
CSE-200309,2026-04,Complaint,NSW,Phone,Assessing,5,173345,17,None,N
CSE-200310,2026-01,Hardship request,SA,Online,Resolved,240,34427,6,Statement of position,N
CSE-200311,2026-01,Complaint,SA,Phone,Resolved,93,530537,4,None,N
CSE-200312,2026-06,Complaint,WA,Online,Reopened,210,631154,18,Authority to act,N
CSE-200313,2026-05,Complaint,SA,Broker,Resolved,29,52435,2,None,N
CSE-200314,2026-02,Financial crime review,NZ,Online,Open,158,175292,19,None,N
