Month,Region,Segment,Members,FUMAUD,InflowsAUD,OutflowsAUD,NetFlowAUD,SwitchedOut,ContactRatePct
2026-04,VIC,Pension 65+,7124,4423327018,27557367,67087999,-39530632,8,4.6
2026-04,QLD,Accumulation <35,20009,750078130,7549203,3010161,4539042,21,3.5
2026-04,QLD,Accumulation 35-49,27510,4742576880,57298571,37403031,19895540,33,4.4
2026-04,QLD,Accumulation 50-59,17150,5327109751,49725047,43858497,5866550,16,1.2
2026-04,QLD,Pre-retirement 60-64,7849,3720946919,26014927,14206284,11808643,20,4.5
2026-04,QLD,Pension 65+,5645,3288069891,37987944,46700032,-8712088,6,1.8
2026-04,WA,Accumulation <35,13381,534569726,2657372,2431453,225919,13,2.6
2026-04,WA,Accumulation 35-49,19223,3102321407,36752255,24168462,12583793,24,2.1
2026-04,WA,Accumulation 50-59,11368,3887136194,42399773,24852648,17547125,10,2.9
2026-04,WA,Pre-retirement 60-64,5233,2559189412,22968037,11998528,10969509,18,3.2
2026-04,WA,Pension 65+,3874,2295831570,17341424,41192933,-23851509,4,2.5
2026-04,SA,Accumulation <35,8645,328340719,3736623,1337278,2399345,7,1.4
2026-04,SA,Accumulation 35-49,12800,2143779217,24119209,16026737,8092472,11,4.2
2026-04,SA,Accumulation 50-59,7779,2506422106,17576290,11896554,5679736,7,2.7
2026-04,SA,Pre-retirement 60-64,3394,1643032479,7372298,8223439,-851141,12,4.7
2026-04,SA,Pension 65+,2566,1653926604,19637278,16755677,2881601,3,3.2
2026-04,NZ,Accumulation <35,7895,319052613,3706342,2591334,1115008,7,1.7
2026-04,NZ,Accumulation 35-49,11273,1958955252,10375577,10032138,343439,12,3.2
2026-04,NZ,Accumulation 50-59,6402,2163222007,24031023,16817874,7213149,7,2.5
2026-04,NZ,Pre-retirement 60-64,3052,1549662507,6279328,11865571,-5586243,9,1.4
2026-04,NZ,Pension 65+,2296,1455301753,18333060,24971826,-6638766,2,2.9
2026-05,NSW,Accumulation <35,28536,1121574975,5095906,9291634,-4195728,28,3.8
2026-05,NSW,Accumulation 35-49,41128,6812030206,72620777,44150320,28470457,44,1.7
2026-05,NSW,Accumulation 50-59,24584,8029352995,81507075,53641551,27865524,27,2.6
2026-05,NSW,Pre-retirement 60-64,11214,5695077060,59213095,38975767,20237328,33,1.3
2026-05,NSW,Pension 65+,8324,4996199217,62999691,54579941,8419750,9,1.1
2026-05,VIC,Accumulation <35,25226,954121668,9808360,6484931,3323429,31,1.3
2026-05,VIC,Accumulation 35-49,35933,6093486737,47796817,24709314,23087503,37,4.8
2026-05,VIC,Accumulation 50-59,21816,6927906212,64950580,28786759,36163821,23,4.1
2026-05,VIC,Pre-retirement 60-64,10039,4885581728,62660644,19107150,43553494,39,3.9
2026-05,VIC,Pension 65+,7602,4603172306,44574524,85545935,-40971411,7,2.1
2026-05,QLD,Accumulation <35,19726,803321539,9611843,5231815,4380028,18,2.2
2026-05,QLD,Accumulation 35-49,27114,4477760446,53928980,17181993,36746987,31,4.2
2026-05,QLD,Accumulation 50-59,17397,5769226330,35328003,40553380,-5225377,16,1.4
2026-05,QLD,Pre-retirement 60-64,7524,3631251726,39979568,14447874,25531694,26,2.6
2026-05,QLD,Pension 65+,5540,3371040493,15944959,33789098,-17844139,5,2.6
2026-05,WA,Accumulation <35,13415,518395056,4880346,1864046,3016300,13,4.6
2026-05,WA,Accumulation 35-49,19228,3202522153,25525824,18613591,6912233,21,3.2
2026-05,WA,Accumulation 50-59,11658,3867551931,39075436,15628479,23446957,12,4.6
2026-05,WA,Pre-retirement 60-64,4964,2410956109,11638528,15490460,-3851932,17,3.1
2026-05,WA,Pension 65+,3920,2412095237,21210144,40962319,-19752175,4,2.9
2026-05,SA,Accumulation <35,8462,338230655,3203979,1612732,1591247,7,1.7
2026-05,SA,Accumulation 35-49,11985,1900986046,11739330,14970294,-3230964,13,4.3
2026-05,SA,Accumulation 50-59,7581,2548678480,26633483,11262434,15371049,6,2.8
2026-05,SA,Pre-retirement 60-64,3569,1741361308,13223756,10651907,2571849,11,1.7
2026-05,SA,Pension 65+,2649,1619511286,18988418,29637902,-10649484,2,4.5
2026-05,NZ,Accumulation <35,7663,303342705,2258597,2673231,-414634,8,1.8
2026-05,NZ,Accumulation 35-49,11207,1813141743,23047365,13537407,9509958,14,3.9
2026-05,NZ,Accumulation 50-59,6712,2118119443,16443703,9736400,6707303,8,1.6
2026-05,NZ,Pre-retirement 60-64,2973,1498872965,15246514,5132380,10114134,10,4.0
2026-05,NZ,Pension 65+,2288,1434375057,5761639,24562071,-18800432,2,4.3
2026-06,NSW,Accumulation <35,29394,1083379076,9245960,5730652,3515308,29,1.3
2026-06,NSW,Accumulation 35-49,39029,6221969449,74485184,51905922,22579262,51,4.3
2026-06,NSW,Accumulation 50-59,24539,8254822221,70735899,64086056,6649843,28,4.8
2026-06,NSW,Pre-retirement 60-64,11234,5354799606,59848865,46528564,13320301,42,2.8
2026-06,NSW,Pension 65+,8562,5337483199,53343942,69361011,-16017069,10,3.8
2026-06,VIC,Accumulation <35,26169,1014752647,12467728,7007112,5460616,32,1.8
2026-06,VIC,Accumulation 35-49,35748,6129281024,59303648,42542112,16761536,33,1.6
2026-06,VIC,Accumulation 50-59,21190,7156304543,72684772,59322507,13362265,23,3.0
2026-06,VIC,Pre-retirement 60-64,9876,5200970499,25007113,32224073,-7216960,41,4.2
2026-06,VIC,Pension 65+,7403,4666062077,34154365,51206365,-17052000,7,2.8
2026-06,QLD,Accumulation <35,19019,744504741,4147188,6117827,-1970639,21,4.5
2026-06,QLD,Accumulation 35-49,28685,4690895923,49062466,35406759,13655707,30,3.3
2026-06,QLD,Accumulation 50-59,16656,5590696680,59490881,33533497,25957384,20,4.7
2026-06,QLD,Pre-retirement 60-64,7444,3906546048,30274838,34605925,-4331087,28,4.8
2026-06,QLD,Pension 65+,5986,3591090849,22898609,67576425,-44677816,7,4.0
2026-06,WA,Accumulation <35,13664,537915358,3332934,2471358,861576,17,3.4
2026-06,WA,Accumulation 35-49,18736,3154692745,26042498,24857825,1184673,22,3.1
2026-06,WA,Accumulation 50-59,11228,3846342429,47852306,19433473,28418833,10,3.2
2026-06,WA,Pre-retirement 60-64,5181,2539303417,29713960,15664665,14049295,22,4.3
2026-06,WA,Pension 65+,3933,2331081184,28799409,32517581,-3718172,3,1.8
2026-06,SA,Accumulation <35,8850,332898241,1734285,2854165,-1119880,11,3.9
2026-06,SA,Accumulation 35-49,12349,2103831374,8924930,15098813,-6173883,15,2.7
2026-06,SA,Accumulation 50-59,7735,2575175370,15675731,21423443,-5747712,9,4.2
2026-06,SA,Pre-retirement 60-64,3494,1729377472,7592423,5485040,2107383,16,4.4
2026-06,SA,Pension 65+,2562,1545935247,7505907,24310196,-16804289,2,4.3
2026-06,NZ,Accumulation <35,7720,290342785,2217284,1900160,317124,9,1.5
2026-06,NZ,Accumulation 35-49,11043,1849159802,16777187,10098211,6678976,10,1.6
2026-06,NZ,Accumulation 50-59,6788,2352925860,17602968,19492737,-1889769,8,3.6
2026-06,NZ,Pre-retirement 60-64,3072,1591234633,14919783,11029865,3889918,11,2.9
2026-06,NZ,Pension 65+,2210,1327740824,15253559,14906793,346766,2,1.5
2026-07,NSW,Accumulation <35,29430,1093754458,13459289,9607569,3851720,33,2.1
2026-07,NSW,Accumulation 35-49,41874,7088541485,61324677,43284325,18040352,52,3.7
2026-07,NSW,Accumulation 50-59,25105,8532516851,104132012,70491975,33640037,23,3.9
2026-07,NSW,Pre-retirement 60-64,11091,5662263844,71669725,37506265,34163460,41,4.7
2026-07,NSW,Pension 65+,8325,5183722635,38947419,84218729,-45271310,9,1.5
2026-07,VIC,Accumulation <35,24628,1006783195,6079126,6368274,-289148,21,3.8
2026-07,VIC,Accumulation 35-49,35366,5960442138,68075642,20252775,47822867,39,1.7
2026-07,VIC,Accumulation 50-59,21575,7160640504,66114202,48871414,17242788,25,4.7
2026-07,VIC,Pre-retirement 60-64,9713,4645379544,29120031,16026700,13093331,48,4.5
2026-07,VIC,Pension 65+,7129,4230950455,42051165,47499216,-5448051,8,1.7
2026-07,QLD,Accumulation <35,20039,780730575,3287194,6626363,-3339169,23,2.6
2026-07,QLD,Accumulation 35-49,27107,4641572121,45876137,23172493,22703644,25,3.0
2026-07,QLD,Accumulation 50-59,16955,5352801541,45564039,45683708,-119669,18,3.4
2026-07,QLD,Pre-retirement 60-64,7773,4076599343,48660407,36474116,12186291,30,2.3
2026-07,QLD,Pension 65+,5742,3588739381,28549663,40794263,-12244600,6,2.0
2026-07,WA,Accumulation <35,13482,536897657,5157916,4740568,417348,17,1.9
2026-07,WA,Accumulation 35-49,18713,3249930942,21745736,21995514,-249778,18,4.6
2026-07,WA,Accumulation 50-59,11410,3840541555,28102036,33630281,-5528245,10,3.6
2026-07,WA,Pre-retirement 60-64,5263,2548683273,18999055,20452651,-1453596,26,3.8
2026-07,WA,Pension 65+,3888,2354297515,25194063,42556987,-17362924,3,4.0
2026-07,SA,Accumulation <35,8778,353776687,1643923,2980070,-1336147,10,4.6
2026-07,SA,Accumulation 35-49,12269,2003498875,16320899,7517863,8803036,13,4.1
2026-07,SA,Accumulation 50-59,7769,2664149153,29238983,17368712,11870271,8,2.6
2026-07,SA,Pre-retirement 60-64,3469,1679817798,9447440,14037231,-4589791,16,2.0
2026-07,SA,Pension 65+,2653,1578475894,13205954,17809411,-4603457,2,3.3
2026-07,NZ,Accumulation <35,7398,293723785,2588650,2130739,457911,8,4.1
2026-07,NZ,Accumulation 35-49,11274,1989110469,21423752,6696154,14727598,12,2.2
2026-07,NZ,Accumulation 50-59,6600,2114810717,17059827,9574197,7485630,7,2.0
2026-07,NZ,Pre-retirement 60-64,3035,1537059990,16019134,7409360,8609774,14,2.3
2026-07,NZ,Pension 65+,2213,1328055832,16847893,22418929,-5571036,2,3.8
2026-08,NSW,Accumulation <35,29707,1179485713,4986451,4870264,116187,26,1.2
2026-08,NSW,Accumulation 35-49,39248,6934468559,50300237,60137833,-9837596,51,4.0
2026-08,NSW,Accumulation 50-59,24117,8258483540,68383279,35997530,32385749,22,1.8
2026-08,NSW,Pre-retirement 60-64,10837,5328592518,40035748,38248337,1787411,54,3.0
2026-08,NSW,Pension 65+,8573,5316289803,25569477,65124524,-39555047,10,3.5
2026-08,VIC,Accumulation <35,24296,992317250,9068391,8631013,437378,29,4.0
2026-08,VIC,Accumulation 35-49,35294,5836434017,74180072,34365987,39814085,39,2.1
2026-08,VIC,Accumulation 50-59,21495,7187276603,81046395,62341659,18704736,24,2.8
2026-08,VIC,Pre-retirement 60-64,9566,4677182028,41060731,30258411,10802320,46,4.6
2026-08,VIC,Pension 65+,7139,4493185895,33056824,72661903,-39605079,8,4.6
2026-08,QLD,Accumulation <35,19706,776721369,8123823,4051227,4072596,20,3.7
2026-08,QLD,Accumulation 35-49,28966,4949562523,29501692,40543865,-11042173,32,2.1
2026-08,QLD,Accumulation 50-59,17471,5896006911,51924180,38663858,13260322,16,1.2
2026-08,QLD,Pre-retirement 60-64,7946,3988522479,20426103,26331373,-5905270,41,2.3
2026-08,QLD,Pension 65+,5613,3311204460,21823416,44228117,-22404701,6,4.0
2026-08,WA,Accumulation <35,13529,526654333,5465970,1780185,3685785,15,1.4
2026-08,WA,Accumulation 35-49,19131,3300723623,25402682,18535174,6867508,23,1.4
2026-08,WA,Accumulation 50-59,10951,3672123943,45579526,32881236,12698290,14,1.6
2026-08,WA,Pre-retirement 60-64,5277,2590501762,15376697,11547971,3828726,22,1.5
2026-08,WA,Pension 65+,3933,2324277511,14778487,34218796,-19440309,4,4.6
2026-08,SA,Accumulation <35,8543,340900002,1980016,2825029,-845013,11,1.2
2026-08,SA,Accumulation 35-49,12732,2080834200,12588853,15435101,-2846248,13,2.1
2026-08,SA,Accumulation 50-59,7820,2509790755,31354940,15581395,15773545,6,2.8
2026-08,SA,Pre-retirement 60-64,3410,1683460751,14991879,6526841,8465038,19,1.4
2026-08,SA,Pension 65+,2579,1542300187,6511250,27658269,-21147019,2,2.3
2026-08,NZ,Accumulation <35,7619,284202958,2429755,2309224,120531,9,4.7
2026-08,NZ,Accumulation 35-49,10580,1833039963,14774610,10034836,4739774,10,3.2
2026-08,NZ,Accumulation 50-59,6821,2244435684,11880624,16399477,-4518853,7,3.9
2026-08,NZ,Pre-retirement 60-64,2933,1480864421,9426043,11562806,-2136763,16,3.1
2026-08,NZ,Pension 65+,2236,1420056214,10244301,24070718,-13826417,2,2.9
2026-09,NSW,Accumulation <35,29436,1209843835,13142965,7967995,5174970,35,3.2
2026-09,NSW,Accumulation 35-49,41274,7268022256,40446463,62509765,-22063302,53,4.6
2026-09,NSW,Accumulation 50-59,24806,8382530865,43097773,49898118,-6800345,28,3.2
2026-09,NSW,Pre-retirement 60-64,11309,5500114968,54548152,17709473,36838679,63,1.8
2026-09,NSW,Pension 65+,8135,5026608332,25123192,59739679,-34616487,8,1.8
2026-09,VIC,Accumulation <35,26187,997312228,9789073,3700521,6088552,31,1.7
2026-09,VIC,Accumulation 35-49,34672,6202642811,74593762,41862725,32731037,44,2.6
2026-09,VIC,Accumulation 50-59,21650,6870920362,87517373,30528601,56988772,24,3.1
2026-09,VIC,Pre-retirement 60-64,10276,4946872729,24687880,36432703,-11744823,64,2.1
2026-09,VIC,Pension 65+,7274,4635794881,21367405,56103220,-34735815,8,2.0
2026-09,QLD,Accumulation <35,19909,780841361,9755395,3316536,6438859,19,2.4
2026-09,QLD,Accumulation 35-49,28036,4791272484,35267671,35966441,-698770,25,4.1
2026-09,QLD,Accumulation 50-59,16568,5822169663,47544397,39752440,7791957,16,4.6
2026-09,QLD,Pre-retirement 60-64,7714,3910950022,37796469,22249065,15547404,39,4.7
2026-09,QLD,Pension 65+,5666,3629251594,39471447,47670169,-8198722,6,3.4
2026-09,WA,Accumulation <35,13356,539525843,2640602,3146824,-506222,15,1.1
2026-09,WA,Accumulation 35-49,18549,3287309919,34082309,27286160,6796149,21,4.7
2026-09,WA,Accumulation 50-59,11309,3804134245,44187455,27237647,16949808,14,4.2
2026-09,WA,Pre-retirement 60-64,5076,2694101309,19656479,13956270,5700209,28,1.4
2026-09,WA,Pension 65+,3894,2564718746,26977622,29804708,-2827086,3,2.3
2026-09,SA,Accumulation <35,8914,361680021,2472760,1570600,902160,9,1.2
2026-09,SA,Accumulation 35-49,12763,2246480989,23285121,15357902,7927219,16,2.0
2026-09,SA,Accumulation 50-59,7795,2514970931,10085253,10163927,-78674,9,1.9
2026-09,SA,Pre-retirement 60-64,3450,1688236667,10922154,9858552,1063602,20,4.3
2026-09,SA,Pension 65+,2590,1587805253,14881686,28342665,-13460979,3,4.8
2026-09,NZ,Accumulation <35,7826,299516412,2285945,1035271,1250674,9,4.5
2026-09,NZ,Accumulation 35-49,10753,1798026531,22065605,13809956,8255649,10,3.6
2026-09,NZ,Accumulation 50-59,6542,2227508346,14129036,8541557,5587479,5,4.4
2026-09,NZ,Pre-retirement 60-64,3013,1483032700,12875940,11967095,908845,17,1.5
2026-09,NZ,Pension 65+,2266,1438701159,12064218,14683000,-2618782,2,3.1
2026-10,NSW,Accumulation <35,28119,1088071807,12499103,6798138,5700965,31,3.7
2026-10,NSW,Accumulation 35-49,41696,7329082093,33569882,28839120,4730762,36,4.6
2026-10,NSW,Accumulation 50-59,24379,8514914460,36088548,30424714,5663834,21,1.6
2026-10,NSW,Pre-retirement 60-64,10846,5495199725,63012801,23592472,39420329,79,1.3
2026-10,NSW,Pension 65+,8601,5666363470,54731624,64829167,-10097543,9,2.0
2026-10,VIC,Accumulation <35,24806,950140069,6954238,6826378,127860,28,3.9
2026-10,VIC,Accumulation 35-49,36904,6215080791,65909320,30668826,35240494,45,3.4
2026-10,VIC,Accumulation 50-59,21891,7679422162,35846430,49675741,-13829311,19,4.0
2026-10,VIC,Pre-retirement 60-64,10204,5128241221,49156436,24600936,24555500,53,2.6
2026-10,VIC,Pension 65+,7258,4779888211,24497617,53722504,-29224887,8,2.0
2026-10,QLD,Accumulation <35,20395,817447844,10426123,4036865,6389258,24,1.3
2026-10,QLD,Accumulation 35-49,28254,4581616068,36592749,30422114,6170635,31,1.4
2026-10,QLD,Accumulation 50-59,17474,5704144863,56184494,31369872,24814622,16,1.8
2026-10,QLD,Pre-retirement 60-64,7923,3911121086,22666507,19413610,3252897,39,2.8
2026-10,QLD,Pension 65+,5604,3563978871,45488543,63339503,-17850960,5,2.0
2026-10,WA,Accumulation <35,13176,538496675,3138664,4443463,-1304799,14,2.2
2026-10,WA,Accumulation 35-49,17880,3013762233,18901013,23814826,-4913813,20,3.4
2026-10,WA,Accumulation 50-59,11510,3811892680,39928175,18296932,21631243,14,2.6
2026-10,WA,Pre-retirement 60-64,5151,2727876578,29129781,11290121,17839660,31,3.3
2026-10,WA,Pension 65+,3896,2499870911,32497305,40644233,-8146928,4,2.3
2026-10,SA,Accumulation <35,9034,359997166,4397564,3129520,1268044,11,4.4
2026-10,SA,Accumulation 35-49,12810,2196875537,22154953,15669588,6485365,14,2.1
2026-10,SA,Accumulation 50-59,7427,2579382282,30609748,22643095,7966653,9,2.3
2026-10,SA,Pre-retirement 60-64,3356,1661626333,12382325,11870060,512265,17,3.6
2026-10,SA,Pension 65+,2552,1588469506,9138166,22814510,-13676344,2,1.2
2026-10,NZ,Accumulation <35,7483,290521942,1435863,947443,488420,8,1.3
2026-10,NZ,Accumulation 35-49,10442,1822633571,18260169,16402444,1857725,10,4.5
2026-10,NZ,Accumulation 50-59,6763,2184066735,24992167,8684021,16308146,6,1.7
2026-10,NZ,Pre-retirement 60-64,2913,1526082982,16310233,12279538,4030695,15,2.6
2026-10,NZ,Pension 65+,2202,1350153804,7685805,19273072,-11587267,2,3.4
2026-11,NSW,Accumulation <35,28077,1085117752,13308928,3945147,9363781,27,3.8
2026-11,NSW,Accumulation 35-49,39542,6774153745,27518491,26683700,834791,40,4.3
2026-11,NSW,Accumulation 50-59,25642,8327904066,76818623,27170487,49648136,29,4.7
2026-11,NSW,Pre-retirement 60-64,11328,6123411195,52914270,35271767,17642503,67,1.2
2026-11,NSW,Pension 65+,8001,4905033224,26307437,79707298,-53399861,7,2.5
2026-11,VIC,Accumulation <35,25585,1043500484,12011795,3160922,8850873,33,3.9
2026-11,VIC,Accumulation 35-49,35086,6048845468,68871946,44552881,24319065,35,2.1
2026-11,VIC,Accumulation 50-59,22119,7721015800,75142253,57785327,17356926,26,2.4
2026-11,VIC,Pre-retirement 60-64,10085,5370080540,54386331,34105755,20280576,77,2.5
2026-11,VIC,Pension 65+,7242,4497535794,53976607,53370651,605956,9,2.8
2026-11,QLD,Accumulation <35,20140,787368958,9735998,3409302,6326696,23,3.6
2026-11,QLD,Accumulation 35-49,26800,4503918291,28629275,25502857,3126418,25,4.0
2026-11,QLD,Accumulation 50-59,17358,6069386529,26701164,35062103,-8360939,20,3.3
