ClaimID,LodgedMonth,ClaimClass,Region,Channel,Status,DaysOpen,IncurredAUD,PaidAUD,ReserveAUD,DocumentCount,MissingEvidence,FraudReviewFlag
CLM-100090,2026-12,Liability,WA,Online,Awaiting Evidence,67,51537,19621,31916,8,None,N
CLM-100091,2026-09,Home,QLD,Phone,Assessing,52,28299,9706,18593,15,Proof of ownership,N
CLM-100092,2026-07,Home,WA,Online,Declined,72,44855,0,0,6,Repair quote,N
CLM-100093,2026-01,Motor,WA,Mobile App,Settled,83,9958,9958,0,13,Repair quote,Y
CLM-100094,2026-08,Liability,VIC,Broker,Settled,10,43796,43796,0,9,Police report,N
CLM-100095,2026-11,Commercial Property,WA,Broker,Open,21,168706,31944,136762,4,None,N
CLM-100096,2026-08,Contents,NSW,Online,Open,74,2627,154,2473,8,Photos,N
CLM-100097,2026-04,Motor,NZ,Mobile App,Open,90,10488,1223,9265,16,None,N
CLM-100098,2026-01,Liability,NSW,Mobile App,Settled,21,62271,62271,0,16,Repair quote,N
CLM-100099,2026-02,Contents,QLD,Broker,Awaiting Evidence,164,11713,4237,7476,12,Repair quote,N
CLM-100100,2026-07,Travel,VIC,Online,Open,107,1477,627,850,5,Police report,N
CLM-100101,2026-05,Motor,NSW,Mobile App,Assessing,151,20982,2077,18905,4,Proof of ownership,N
CLM-100102,2026-07,Home,QLD,Phone,Open,179,18040,5558,12482,5,Repair quote,N
CLM-100103,2026-05,Commercial Property,VIC,Phone,Declined,116,92030,0,0,14,Proof of ownership,Y
CLM-100104,2026-05,Contents,NZ,Broker,Declined,23,3063,0,0,7,Repair quote,N
CLM-100105,2026-03,Contents,VIC,Mobile App,Assessing,92,12764,4679,8085,8,Proof of ownership,N
CLM-100106,2026-07,Commercial Property,QLD,Mobile App,Settled,70,156331,156331,0,9,Proof of ownership,Y
CLM-100107,2026-02,Contents,WA,Broker,Settled,8,12733,12733,0,8,None,N
CLM-100108,2026-12,Commercial Property,WA,Broker,Open,138,95712,30436,65276,6,None,N
CLM-100109,2026-06,Home,WA,Phone,Settled,9,71092,71092,0,3,None,N
CLM-100110,2026-04,Travel,SA,Phone,Open,47,3653,923,2730,16,Proof of ownership,N
CLM-100111,2026-01,Travel,QLD,Broker,Reopened,176,3777,1088,2689,13,Proof of ownership,N
CLM-100112,2026-07,Home,VIC,Broker,Open,45,39947,9545,30402,16,Repair quote,N
CLM-100113,2026-08,Home,SA,Broker,Reopened,76,58941,15918,43023,2,None,N
CLM-100114,2026-06,Liability,VIC,Phone,Open,77,15010,3658,11352,9,Photos,N
CLM-100115,2026-11,Home,WA,Phone,Settled,18,54383,54383,0,4,None,N
CLM-100116,2026-09,Commercial Property,NZ,Online,Settled,18,55498,55498,0,8,Medical report,N
CLM-100117,2026-06,Home,SA,Mobile App,Assessing,100,13186,3341,9845,5,Photos,N
CLM-100118,2026-04,Commercial Property,SA,Phone,Assessing,31,113697,47750,65947,14,Police report,N
CLM-100119,2026-06,Travel,VIC,Broker,Reopened,130,4847,553,4294,8,Repair quote,N
CLM-100120,2026-09,Commercial Property,VIC,Phone,Open,50,195308,56198,139110,7,Police report,N
CLM-100121,2026-12,Motor,NZ,Phone,Settled,25,15503,15503,0,7,Repair quote,N
CLM-100122,2026-11,Travel,SA,Mobile App,Reopened,105,7320,2387,4933,14,None,N
CLM-100123,2026-01,Commercial Property,QLD,Mobile App,Open,160,60214,1875,58339,8,None,N
CLM-100124,2026-07,Contents,NZ,Mobile App,Awaiting Evidence,155,12688,2688,10000,11,Proof of ownership,N
CLM-100125,2026-03,Commercial Property,NSW,Broker,Open,13,110022,37633,72389,16,Repair quote,N
CLM-100126,2026-07,Home,WA,Mobile App,Awaiting Evidence,117,62817,13568,49249,13,None,N
CLM-100127,2026-03,Home,WA,Broker,Assessing,49,64131,10829,53302,11,Medical report,N
CLM-100128,2026-11,Travel,WA,Online,Assessing,24,6762,21,6741,5,Repair quote,N
CLM-100129,2026-08,Liability,WA,Broker,Open,92,126877,42460,84417,5,Police report,N
CLM-100130,2026-06,Home,NSW,Broker,Settled,5,45468,45468,0,8,Repair quote,N
CLM-100131,2026-05,Liability,VIC,Mobile App,Open,20,53469,15889,37580,11,None,N
CLM-100132,2026-10,Home,NZ,Phone,Open,68,57966,18769,39197,5,Repair quote,N
CLM-100133,2026-12,Home,SA,Mobile App,Settled,93,55043,55043,0,3,None,N
CLM-100134,2026-01,Travel,SA,Phone,Assessing,119,5659,1208,4451,3,None,N
CLM-100135,2026-04,Motor,NZ,Broker,Settled,26,9323,9323,0,6,Repair quote,N
CLM-100136,2026-07,Contents,NSW,Phone,Settled,7,5327,5327,0,16,Repair quote,N
CLM-100137,2026-06,Travel,NSW,Phone,Assessing,56,5687,1434,4253,11,Repair quote,N
CLM-100138,2026-09,Travel,SA,Online,Settled,17,774,774,0,15,Proof of ownership,N
CLM-100139,2026-08,Home,WA,Mobile App,Assessing,23,48523,3910,44613,9,None,N
CLM-100140,2026-12,Commercial Property,QLD,Mobile App,Settled,78,162228,162228,0,8,None,N
CLM-100141,2026-01,Home,QLD,Phone,Awaiting Evidence,3,33202,14057,19145,3,Photos,N
CLM-100142,2026-08,Motor,QLD,Broker,Settled,81,15237,15237,0,4,Proof of ownership,N
CLM-100143,2026-09,Liability,QLD,Broker,Declined,125,68650,0,0,15,Proof of ownership,N
CLM-100144,2026-12,Home,NSW,Online,Assessing,22,49672,371,49301,12,None,N
CLM-100145,2026-01,Liability,SA,Mobile App,Settled,87,26251,26251,0,8,Repair quote,N
CLM-100146,2026-01,Home,NSW,Broker,Settled,40,35749,35749,0,3,None,N
CLM-100147,2026-08,Contents,SA,Mobile App,Open,92,6557,974,5583,13,Photos,Y
CLM-100148,2026-07,Liability,NSW,Phone,Settled,15,32327,32327,0,7,None,N
CLM-100149,2026-05,Liability,SA,Online,Settled,16,30695,30695,0,6,None,N
CLM-100150,2026-04,Motor,WA,Online,Open,152,2676,451,2225,17,Proof of ownership,Y
CLM-100151,2026-07,Home,NSW,Phone,Reopened,127,70341,7756,62585,8,Proof of ownership,N
CLM-100152,2026-05,Motor,SA,Online,Open,120,16816,96,16720,10,None,N
CLM-100153,2026-11,Contents,QLD,Phone,Awaiting Evidence,172,5424,1611,3813,10,Repair quote,Y
CLM-100154,2026-05,Motor,WA,Online,Settled,26,9259,9259,0,13,Proof of ownership,N
CLM-100155,2026-11,Commercial Property,WA,Mobile App,Reopened,161,143488,60888,82600,11,None,N
CLM-100156,2026-06,Contents,WA,Online,Settled,73,2635,2635,0,7,Repair quote,N
CLM-100157,2026-01,Liability,QLD,Broker,Open,77,13606,3334,10272,12,None,N
CLM-100158,2026-06,Contents,QLD,Online,Declined,113,8901,0,0,4,Medical report,N
CLM-100159,2026-01,Travel,VIC,Broker,Settled,40,3573,3573,0,10,None,N
CLM-100160,2026-03,Motor,QLD,Broker,Reopened,34,2423,890,1533,10,None,N
CLM-100161,2026-01,Motor,WA,Phone,Settled,39,5626,5626,0,7,Proof of ownership,Y
CLM-100162,2026-09,Travel,NSW,Mobile App,Settled,16,2509,2509,0,12,None,N
CLM-100163,2026-06,Home,SA,Broker,Declined,91,30310,0,0,12,Proof of ownership,N
CLM-100164,2026-11,Contents,VIC,Phone,Settled,43,4281,4281,0,4,Police report,N
CLM-100165,2026-08,Travel,SA,Phone,Settled,69,3325,3325,0,12,Proof of ownership,N
CLM-100166,2026-10,Travel,NSW,Mobile App,Assessing,17,4573,1476,3097,4,Photos,N
CLM-100167,2026-05,Home,VIC,Phone,Assessing,82,14826,1665,13161,7,Police report,N
CLM-100168,2026-04,Commercial Property,SA,Phone,Awaiting Evidence,11,32865,4372,28493,13,None,N
CLM-100169,2026-09,Contents,VIC,Phone,Open,123,11926,1729,10197,10,Proof of ownership,N
CLM-100170,2026-07,Liability,NZ,Online,Open,175,53690,2057,51633,16,Medical report,N
CLM-100171,2026-11,Motor,VIC,Online,Assessing,92,18950,4594,14356,11,Medical report,N
CLM-100172,2026-05,Liability,QLD,Mobile App,Awaiting Evidence,90,106746,3794,102952,16,Proof of ownership,N
CLM-100173,2026-12,Contents,WA,Online,Assessing,25,6205,2694,3511,15,None,Y
CLM-100174,2026-09,Home,NZ,Broker,Open,82,21363,9123,12240,9,None,N
CLM-100175,2026-04,Contents,WA,Mobile App,Settled,37,8964,8964,0,12,None,N
CLM-100176,2026-03,Travel,WA,Phone,Awaiting Evidence,47,1368,92,1276,15,None,N
CLM-100177,2026-09,Contents,NZ,Phone,Open,111,8325,3310,5015,4,None,N
CLM-100178,2026-03,Commercial Property,NSW,Online,Settled,33,94625,94625,0,13,Proof of ownership,N
CLM-100179,2026-05,Home,VIC,Phone,Assessing,144,24462,3401,21061,8,Police report,N
CLM-100180,2026-10,Contents,NZ,Phone,Open,74,3509,523,2986,2,Medical report,N
CLM-100181,2026-04,Liability,NZ,Online,Settled,89,12069,12069,0,12,None,N
CLM-100182,2026-03,Contents,NZ,Broker,Settled,16,12923,12923,0,3,Repair quote,Y
CLM-100183,2026-11,Motor,SA,Online,Settled,39,15279,15279,0,6,None,N
CLM-100184,2026-07,Home,NZ,Online,Awaiting Evidence,73,34276,9417,24859,5,None,N
CLM-100185,2026-07,Commercial Property,WA,Broker,Settled,14,193474,193474,0,6,Proof of ownership,N
CLM-100186,2026-04,Travel,QLD,Phone,Assessing,151,5776,273,5503,13,None,N
CLM-100187,2026-03,Liability,QLD,Online,Awaiting Evidence,82,25897,3215,22682,14,None,N
CLM-100188,2026-04,Liability,SA,Phone,Assessing,86,101150,5754,95396,13,Police report,N
CLM-100189,2026-09,Travel,VIC,Phone,Settled,92,6065,6065,0,4,None,N
CLM-100190,2026-06,Travel,NZ,Broker,Settled,17,7017,7017,0,3,None,N
CLM-100191,2026-06,Commercial Property,QLD,Online,Settled,89,59522,59522,0,10,None,N
CLM-100192,2026-02,Contents,WA,Mobile App,Assessing,158,5761,1806,3955,10,None,N
CLM-100193,2026-10,Commercial Property,WA,Phone,Awaiting Evidence,4,171111,64802,106309,4,Repair quote,N
CLM-100194,2026-07,Liability,VIC,Broker,Settled,67,43267,43267,0,14,None,N
CLM-100195,2026-09,Home,NZ,Mobile App,Settled,52,36677,36677,0,3,Police report,Y
CLM-100196,2026-10,Travel,NSW,Phone,Open,169,7979,3397,4582,4,None,N
CLM-100197,2026-05,Motor,SA,Broker,Assessing,114,7448,3186,4262,15,Repair quote,Y
CLM-100198,2026-04,Contents,VIC,Online,Assessing,142,4657,378,4279,7,Photos,N
CLM-100199,2026-11,Travel,NSW,Mobile App,Assessing,10,6109,1858,4251,7,Repair quote,N
CLM-100200,2026-03,Motor,VIC,Online,Assessing,105,19687,4309,15378,8,None,N
CLM-100201,2026-01,Motor,WA,Online,Settled,11,9116,9116,0,15,Medical report,N
CLM-100202,2026-11,Home,NSW,Phone,Reopened,33,9147,4047,5100,10,Proof of ownership,N
CLM-100203,2026-04,Liability,VIC,Online,Settled,18,51883,51883,0,11,Police report,Y
CLM-100204,2026-12,Motor,QLD,Online,Settled,23,15378,15378,0,11,Repair quote,N
CLM-100205,2026-09,Liability,VIC,Broker,Reopened,141,37646,13638,24008,10,None,N
CLM-100206,2026-11,Travel,NZ,Mobile App,Assessing,163,7241,1302,5939,14,Medical report,N
CLM-100207,2026-05,Motor,SA,Mobile App,Open,108,4295,670,3625,17,Photos,N
CLM-100208,2026-11,Liability,WA,Broker,Open,157,18287,6921,11366,16,Proof of ownership,Y
CLM-100209,2026-10,Motor,NSW,Broker,Settled,88,11749,11749,0,5,Repair quote,N
CLM-100210,2026-03,Travel,NZ,Phone,Assessing,59,822,193,629,3,None,N
CLM-100211,2026-08,Motor,SA,Phone,Settled,91,9474,9474,0,15,None,N
CLM-100212,2026-07,Liability,SA,Broker,Awaiting Evidence,95,10941,1261,9680,14,Repair quote,N
CLM-100213,2026-01,Travel,VIC,Mobile App,Settled,32,5735,5735,0,8,None,N
CLM-100214,2026-12,Liability,VIC,Phone,Awaiting Evidence,150,35575,6882,28693,16,None,N
CLM-100215,2026-07,Home,WA,Mobile App,Settled,38,24942,24942,0,10,Medical report,N
CLM-100216,2026-06,Home,NSW,Phone,Declined,55,17484,0,0,16,Repair quote,N
CLM-100217,2026-07,Contents,SA,Broker,Open,102,8753,610,8143,6,Repair quote,N
CLM-100218,2026-06,Travel,NZ,Online,Settled,69,3723,3723,0,8,None,Y
CLM-100219,2026-10,Home,VIC,Phone,Assessing,101,47665,3905,43760,3,Proof of ownership,N
CLM-100220,2026-06,Home,WA,Online,Awaiting Evidence,92,36454,1317,35137,9,Photos,N
CLM-100221,2026-07,Contents,WA,Online,Assessing,18,10510,1902,8608,8,None,N
CLM-100222,2026-03,Home,VIC,Mobile App,Settled,74,25085,25085,0,7,Repair quote,N
CLM-100223,2026-03,Home,VIC,Broker,Awaiting Evidence,47,7954,409,7545,14,Police report,N
CLM-100224,2026-02,Home,NSW,Broker,Open,175,64404,25499,38905,10,Photos,N
CLM-100225,2026-10,Liability,NSW,Mobile App,Settled,47,89139,89139,0,8,None,N
CLM-100226,2026-09,Home,VIC,Mobile App,Settled,21,25880,25880,0,13,None,N
CLM-100227,2026-11,Contents,WA,Online,Assessing,128,8563,1695,6868,9,Police report,N
CLM-100228,2026-12,Home,SA,Online,Awaiting Evidence,160,49544,8687,40857,8,Medical report,N
CLM-100229,2026-02,Home,NZ,Broker,Open,69,25979,4822,21157,11,None,N
CLM-100230,2026-11,Contents,SA,Mobile App,Open,175,7517,2286,5231,4,None,N
CLM-100231,2026-09,Commercial Property,SA,Broker,Awaiting Evidence,35,50717,13132,37585,7,Proof of ownership,N
CLM-100232,2026-02,Commercial Property,SA,Online,Settled,18,121758,121758,0,10,None,N
CLM-100233,2026-11,Commercial Property,WA,Online,Assessing,35,178117,37257,140860,6,Police report,N
CLM-100234,2026-11,Home,NSW,Online,Settled,47,31498,31498,0,7,None,N
CLM-100235,2026-10,Home,QLD,Broker,Assessing,171,15004,6749,8255,5,Proof of ownership,N
CLM-100236,2026-11,Liability,NSW,Online,Declined,153,115516,0,0,8,None,N
CLM-100237,2026-09,Liability,NSW,Phone,Settled,54,73636,73636,0,3,None,N
CLM-100238,2026-05,Motor,WA,Mobile App,Reopened,41,10544,2039,8505,8,None,N
CLM-100239,2026-05,Liability,WA,Mobile App,Assessing,87,83000,30469,52531,7,None,N
CLM-100240,2026-08,Commercial Property,VIC,Phone,Settled,57,190088,190088,0,9,None,N
CLM-100241,2026-04,Motor,VIC,Broker,Settled,23,16934,16934,0,14,Proof of ownership,N
CLM-100242,2026-09,Travel,NZ,Mobile App,Settled,37,1801,1801,0,3,Police report,N
CLM-100243,2026-09,Contents,QLD,Mobile App,Declined,135,11114,0,0,9,None,N
CLM-100244,2026-07,Home,NSW,Mobile App,Assessing,159,21441,4090,17351,12,Repair quote,N
CLM-100245,2026-09,Motor,NZ,Broker,Awaiting Evidence,119,3957,1340,2617,12,None,N
CLM-100246,2026-11,Motor,QLD,Phone,Assessing,31,10639,2962,7677,12,Proof of ownership,N
CLM-100247,2026-03,Liability,NZ,Online,Assessing,40,119419,51092,68327,7,None,N
CLM-100248,2026-12,Contents,QLD,Broker,Awaiting Evidence,89,1051,236,815,16,Repair quote,N
CLM-100249,2026-12,Contents,SA,Phone,Settled,22,8873,8873,0,13,None,N
CLM-100250,2026-07,Home,NSW,Online,Assessing,119,31176,9683,21493,11,None,N
CLM-100251,2026-01,Liability,WA,Broker,Settled,58,29183,29183,0,13,None,N
CLM-100252,2026-06,Commercial Property,VIC,Broker,Open,70,160945,9053,151892,4,Repair quote,N
CLM-100253,2026-02,Motor,WA,Phone,Reopened,169,8208,382,7826,7,None,N
CLM-100254,2026-11,Liability,WA,Online,Settled,85,39366,39366,0,10,None,N
CLM-100255,2026-06,Motor,SA,Phone,Awaiting Evidence,73,4067,1172,2895,3,None,N
CLM-100256,2026-07,Liability,SA,Online,Assessing,86,35165,5966,29199,12,Repair quote,Y
CLM-100257,2026-07,Contents,NZ,Phone,Assessing,69,6225,2394,3831,10,Medical report,N
CLM-100258,2026-04,Home,WA,Online,Settled,36,38200,38200,0,4,Proof of ownership,N
CLM-100259,2026-03,Liability,WA,Broker,Open,154,71902,1255,70647,16,Repair quote,N
CLM-100260,2026-01,Travel,WA,Phone,Settled,92,4346,4346,0,14,Police report,N
CLM-100261,2026-08,Commercial Property,NSW,Mobile App,Declined,52,137382,0,0,11,Police report,N
CLM-100262,2026-10,Liability,NZ,Mobile App,Settled,78,36735,36735,0,16,None,N
CLM-100263,2026-07,Commercial Property,SA,Phone,Settled,55,202728,202728,0,7,None,N
CLM-100264,2026-12,Contents,SA,Broker,Assessing,3,3777,1416,2361,3,None,N
CLM-100265,2026-05,Travel,NSW,Phone,Open,56,4064,877,3187,12,None,N
CLM-100266,2026-02,Contents,NSW,Online,Settled,93,12774,12774,0,10,None,N
CLM-100267,2026-11,Travel,NZ,Phone,Declined,151,4030,0,0,3,None,N
CLM-100268,2026-03,Motor,QLD,Broker,Reopened,89,16912,953,15959,6,Police report,N
CLM-100269,2026-08,Commercial Property,SA,Broker,Assessing,178,30044,3257,26787,14,Proof of ownership,N
CLM-100270,2026-04,Commercial Property,NSW,Phone,Awaiting Evidence,101,188891,59020,129871,2,Police report,N
CLM-100271,2026-07,Motor,SA,Broker,Open,139,13840,4417,9423,6,None,N
CLM-100272,2026-11,Commercial Property,SA,Mobile App,Declined,162,72821,0,0,2,Police report,Y
CLM-100273,2026-04,Liability,NZ,Online,Settled,46,35770,35770,0,7,Repair quote,Y
CLM-100274,2026-02,Home,WA,Online,Awaiting Evidence,78,18449,97,18352,11,None,N
CLM-100275,2026-04,Liability,NZ,Mobile App,Awaiting Evidence,60,50832,14168,36664,14,None,N
CLM-100276,2026-06,Contents,SA,Broker,Declined,52,1548,0,0,6,Repair quote,N
CLM-100277,2026-02,Contents,NZ,Broker,Settled,59,5840,5840,0,5,None,N
CLM-100278,2026-08,Liability,NZ,Online,Awaiting Evidence,120,89928,13425,76503,2,Proof of ownership,N
CLM-100279,2026-11,Contents,NSW,Online,Awaiting Evidence,90,1889,377,1512,5,Police report,N
CLM-100280,2026-11,Liability,VIC,Broker,Settled,70,114607,114607,0,11,Repair quote,N
CLM-100281,2026-12,Travel,NSW,Mobile App,Open,141,1893,322,1571,11,None,N
CLM-100282,2026-03,Contents,VIC,Phone,Awaiting Evidence,39,4707,1718,2989,7,None,N
CLM-100283,2026-10,Home,WA,Mobile App,Assessing,160,36403,2707,33696,14,None,N
CLM-100284,2026-06,Commercial Property,QLD,Online,Settled,47,148025,148025,0,13,Police report,N
CLM-100285,2026-03,Home,NZ,Mobile App,Settled,56,71994,71994,0,16,Photos,N
CLM-100286,2026-12,Liability,QLD,Mobile App,Assessing,149,72355,28832,43523,11,None,N
CLM-100287,2026-04,Travel,NZ,Broker,Settled,27,5205,5205,0,2,None,N
CLM-100288,2026-04,Contents,QLD,Mobile App,Assessing,10,7653,474,7179,10,None,N
CLM-100289,2026-11,Motor,NSW,Phone,Awaiting Evidence,97,10624,618,10006,3,None,N
CLM-100290,2026-12,Liability,QLD,Phone,Awaiting Evidence,69,56352,9835,46517,3,None,N
CLM-100291,2026-12,Motor,QLD,Broker,Assessing,67,11740,3914,7826,10,None,N
