ClientRef,Segment,State,TenureYears,TotalBalanceAUD,LendingBalanceAUD,ProductCount,MonthsSinceContact,RelationshipManagerAssigned,EngagementLevel,OpenServiceItems
CLI-700077,Commercial,NZ,21,503322,777235,7,2,N,High,2
CLI-700078,Small Business,SA,21,432723,209896,3,15,Y,Low,2
CLI-700079,Small Business,NSW,15,86561,170366,5,14,Y,Medium,0
CLI-700080,Retail Premium,QLD,8,208852,197685,4,4,N,Low,4
CLI-700081,Small Business,VIC,21,171807,233882,3,10,Y,Medium,2
CLI-700082,Commercial,NSW,7,2124073,209096,4,3,Y,Medium,1
CLI-700083,Small Business,QLD,3,312964,86373,7,7,N,Low,2
CLI-700084,Commercial,SA,12,1209764,1712155,3,3,Y,Medium,3
CLI-700085,Retail Premium,NSW,11,989324,557837,2,11,N,Medium,1
CLI-700086,Small Business,NSW,23,390561,668841,2,11,Y,Medium,1
CLI-700087,Small Business,VIC,13,100262,42781,4,14,Y,Medium,0
CLI-700088,Commercial,NZ,24,564043,360947,7,1,Y,Low,2
CLI-700089,Commercial,VIC,1,804917,326090,2,1,N,Low,2
CLI-700090,Small Business,WA,10,169162,359901,2,6,Y,Medium,4
CLI-700091,Commercial,NZ,22,2132437,1435212,7,1,Y,Low,2
CLI-700092,Small Business,NSW,11,73782,119587,6,18,N,Low,2
CLI-700093,Small Business,VIC,20,391208,55274,6,22,Y,Medium,0
CLI-700094,Commercial,VIC,14,1769732,3017680,7,1,Y,High,4
CLI-700095,Small Business,QLD,8,401679,565200,2,8,N,High,2
CLI-700096,Commercial,VIC,21,718585,393204,4,2,Y,Low,0
CLI-700097,Commercial,NZ,20,393807,807571,1,1,Y,High,4
CLI-700098,Retail Premium,NZ,10,678987,1370604,5,7,Y,Medium,4
CLI-700099,Commercial,NZ,3,677872,247121,7,4,Y,High,0
CLI-700100,Commercial,NSW,13,1813380,877411,5,5,Y,Medium,3
CLI-700101,Commercial,SA,9,1047482,1690882,4,4,Y,Medium,4
CLI-700102,Retail Premium,WA,1,540202,1237367,6,5,N,High,4
CLI-700103,Small Business,WA,17,95661,81442,4,16,N,Low,4
CLI-700104,Small Business,WA,23,334788,91189,4,18,Y,Low,4
CLI-700105,Small Business,NSW,17,407541,401158,6,16,Y,Medium,0
CLI-700106,Commercial,VIC,5,1904338,2595541,6,6,Y,High,2
CLI-700107,Commercial,VIC,9,1831703,1677665,3,4,Y,Medium,4
CLI-700108,Commercial,WA,10,2228879,249796,6,4,Y,Low,2
CLI-700109,Commercial,SA,2,1552904,1274559,3,5,Y,Low,3
CLI-700110,Small Business,SA,4,423397,723992,4,14,Y,Low,3
CLI-700111,Small Business,NSW,15,445980,996749,6,9,N,Medium,4
CLI-700112,Retail Premium,SA,13,990324,491138,4,3,Y,Medium,4
CLI-700113,Commercial,NZ,7,506638,679063,7,1,Y,Medium,3
CLI-700114,Retail Premium,NSW,8,681631,100340,3,2,Y,Low,1
CLI-700115,Small Business,VIC,16,390726,487618,5,12,Y,High,2
CLI-700116,Retail Premium,SA,7,292669,340822,3,8,N,Low,4
CLI-700117,Retail Premium,VIC,22,987989,193623,5,12,Y,High,3
CLI-700118,Commercial,SA,8,1717910,1003743,7,3,Y,High,3
CLI-700119,Commercial,WA,22,1284788,2913342,3,6,Y,Medium,4
CLI-700120,Commercial,SA,19,1150271,1304507,3,6,Y,Medium,0
CLI-700121,Small Business,NZ,14,248691,476471,5,8,N,High,0
CLI-700122,Retail Premium,VIC,9,415824,828848,5,8,Y,Medium,3
CLI-700123,Commercial,QLD,8,960231,1063343,7,2,Y,High,4
CLI-700124,Retail Premium,NSW,19,832182,544155,1,3,N,Medium,4
CLI-700125,Retail Premium,VIC,24,877191,2021284,2,6,Y,Low,4
CLI-700126,Small Business,QLD,12,122980,37046,1,19,Y,Medium,1
CLI-700127,Retail Premium,NZ,3,635391,275916,4,8,N,Medium,1
CLI-700128,Small Business,NSW,3,172653,75572,2,10,Y,Medium,3
CLI-700129,Small Business,VIC,20,95492,115642,7,9,N,High,4
CLI-700130,Commercial,WA,8,2419093,2899162,3,3,Y,Low,2
CLI-700131,Small Business,VIC,1,118535,148049,6,17,N,Low,0
CLI-700132,Small Business,NSW,12,211147,367198,5,24,N,Medium,1
CLI-700133,Commercial,VIC,2,1904497,2568469,6,6,Y,Low,3
CLI-700134,Small Business,WA,9,436274,217531,4,17,N,High,4
CLI-700135,Small Business,QLD,16,150478,237337,7,22,N,Low,0
CLI-700136,Retail Premium,WA,16,654418,1310913,3,13,N,Medium,4
CLI-700137,Retail Premium,SA,23,921627,1081437,2,17,Y,Low,1
CLI-700138,Commercial,NSW,3,995231,2269812,7,5,N,Medium,0
CLI-700139,Commercial,SA,17,2575870,4216731,7,4,N,Low,3
CLI-700140,Small Business,NSW,1,59906,31380,6,20,N,Medium,2
CLI-700141,Small Business,QLD,3,90194,176981,1,7,N,Low,4
CLI-700142,Small Business,NZ,12,368563,749345,7,14,N,High,2
CLI-700143,Small Business,SA,9,53066,105908,6,16,N,Low,2
CLI-700144,Commercial,WA,8,925502,154286,6,3,Y,High,3
CLI-700145,Small Business,QLD,1,352349,420525,3,20,N,Low,3
CLI-700146,Small Business,SA,11,45632,70964,4,13,Y,Low,2
CLI-700147,Small Business,NSW,11,178145,149038,7,19,N,Medium,2
CLI-700148,Retail Premium,VIC,16,302638,616054,1,12,Y,Medium,3
CLI-700149,Retail Premium,NSW,9,367816,863139,6,11,Y,Low,3
CLI-700150,Retail Premium,VIC,21,792554,1843496,3,9,N,High,1
CLI-700151,Commercial,SA,23,2490788,3478851,5,5,Y,Low,2
CLI-700152,Retail Premium,NSW,21,951217,1521199,1,4,Y,Low,0
CLI-700153,Commercial,WA,14,2618392,878047,2,1,N,Low,1
CLI-700154,Small Business,WA,7,345188,100415,3,11,N,High,2
CLI-700155,Retail Premium,SA,17,752079,1075088,7,6,Y,High,1
CLI-700156,Small Business,VIC,4,264739,114717,5,7,N,Low,2
CLI-700157,Small Business,VIC,11,67961,54228,4,7,N,Low,0
CLI-700158,Small Business,VIC,13,287114,654580,6,18,N,Low,4
CLI-700159,Small Business,NSW,3,123593,40851,1,14,N,Medium,2
CLI-700160,Retail Premium,QLD,16,527084,1133355,4,5,Y,Medium,1
CLI-700161,Retail Premium,VIC,17,357860,224892,4,15,N,High,3
CLI-700162,Small Business,VIC,17,63454,15328,3,11,Y,Medium,4
CLI-700163,Retail Premium,SA,16,423851,222572,1,5,N,Low,0
CLI-700164,Retail Premium,WA,9,753127,307566,3,16,Y,Low,3
CLI-700165,Small Business,NZ,20,62710,64988,6,7,Y,Low,4
CLI-700166,Small Business,WA,15,57311,36756,5,13,Y,Medium,3
CLI-700167,Commercial,VIC,17,358326,442278,1,4,Y,High,4
CLI-700168,Commercial,SA,7,1450865,2107127,3,2,Y,Low,3
CLI-700169,Retail Premium,VIC,22,613328,1422740,4,8,Y,High,2
CLI-700170,Commercial,VIC,22,914080,1523439,2,4,Y,High,2
CLI-700171,Retail Premium,VIC,19,390143,234796,5,7,Y,Medium,1
CLI-700172,Small Business,SA,12,124002,46085,1,11,Y,High,1
CLI-700173,Retail Premium,NZ,22,307862,208774,4,17,N,Low,4
CLI-700174,Small Business,SA,14,40217,54947,6,19,Y,High,2
CLI-700175,Commercial,WA,14,2213484,587720,5,6,Y,Medium,2
CLI-700176,Commercial,WA,23,1061781,1514945,6,2,Y,Low,1
CLI-700177,Retail Premium,SA,14,874343,334600,7,14,N,Medium,4
CLI-700178,Small Business,QLD,17,261180,555138,6,17,N,High,3
CLI-700179,Small Business,QLD,14,414609,304328,4,23,N,Low,0
CLI-700180,Commercial,QLD,14,2762128,2703203,4,6,Y,Low,0
CLI-700181,Commercial,NSW,18,2795709,2631824,5,5,Y,Medium,4
CLI-700182,Retail Premium,SA,3,976549,329971,4,8,N,Medium,4
CLI-700183,Commercial,VIC,13,1163418,2217610,6,2,Y,Medium,3
CLI-700184,Retail Premium,VIC,8,913615,1054390,4,17,N,High,4
CLI-700185,Retail Premium,SA,3,476261,856030,2,7,N,Medium,3
CLI-700186,Small Business,WA,17,43739,52853,2,11,N,High,3
CLI-700187,Small Business,QLD,11,418033,830855,6,23,N,Low,1
CLI-700188,Commercial,VIC,3,2200287,245957,1,3,Y,Low,2
CLI-700189,Commercial,WA,23,1279097,2178881,5,1,Y,Low,3
CLI-700190,Retail Premium,SA,16,361642,846974,5,9,N,Medium,1
CLI-700191,Small Business,NZ,12,228576,271812,7,8,Y,Low,0
CLI-700192,Retail Premium,NSW,14,867878,248865,3,17,Y,Low,1
CLI-700193,Small Business,QLD,23,193496,448691,2,10,Y,High,2
CLI-700194,Commercial,NSW,5,389897,360647,2,4,Y,Medium,2
CLI-700195,Commercial,QLD,7,2057002,61142,7,2,Y,High,2
CLI-700196,Small Business,SA,13,369631,664620,2,11,N,Medium,2
CLI-700197,Small Business,NSW,22,105115,54500,4,12,N,Low,4
CLI-700198,Retail Premium,SA,13,276740,245744,1,15,Y,Low,1
CLI-700199,Small Business,QLD,4,419034,297359,2,8,N,High,4
CLI-700200,Commercial,VIC,9,657889,172648,2,6,Y,Medium,3
CLI-700201,Retail Premium,NSW,18,605986,887768,2,6,N,Low,4
CLI-700202,Small Business,VIC,22,242841,121654,2,14,N,High,3
CLI-700203,Small Business,QLD,19,118795,182649,3,12,N,Medium,2
CLI-700204,Small Business,VIC,9,203548,5246,4,17,N,Medium,1
CLI-700205,Retail Premium,NZ,10,442352,102453,5,12,Y,High,0
CLI-700206,Commercial,NZ,17,359647,606511,7,3,Y,Low,3
CLI-700207,Retail Premium,VIC,1,541952,135867,6,4,N,Low,2
CLI-700208,Small Business,QLD,8,102999,115298,6,8,N,Medium,0
CLI-700209,Small Business,WA,7,39840,15179,1,25,N,Medium,1
CLI-700210,Commercial,WA,2,1415313,2744856,7,5,Y,High,2
CLI-700211,Small Business,VIC,24,42440,86728,1,25,N,Low,1
CLI-700212,Retail Premium,WA,8,210947,254791,2,14,N,Low,2
CLI-700213,Retail Premium,NZ,3,78930,118951,5,8,Y,Low,0
CLI-700214,Commercial,SA,2,862227,1633518,5,3,Y,Medium,4
CLI-700215,Small Business,NZ,3,269410,427881,3,14,N,Medium,2
CLI-700216,Commercial,SA,20,1398314,1194082,6,5,N,Medium,4
CLI-700217,Retail Premium,NZ,16,296734,583615,4,12,Y,Low,0
CLI-700218,Commercial,QLD,6,236727,442770,6,3,Y,Low,3
CLI-700219,Retail Premium,NSW,4,608840,364223,7,2,Y,Low,3
CLI-700220,Retail Premium,VIC,21,627890,45706,5,4,N,Low,1
CLI-700221,Small Business,NSW,4,45539,43928,7,18,N,Medium,3
CLI-700222,Commercial,NZ,21,287792,1687,4,5,Y,Medium,4
CLI-700223,Retail Premium,VIC,9,436667,34147,2,17,N,Low,2
CLI-700224,Retail Premium,SA,8,195781,438362,6,16,N,Medium,4
CLI-700225,Retail Premium,NSW,19,580297,644638,3,2,Y,Low,1
CLI-700226,Retail Premium,VIC,20,310665,74082,5,14,Y,Low,0
CLI-700227,Small Business,NZ,3,403916,346991,1,15,N,Low,3
CLI-700228,Retail Premium,WA,9,958593,997632,5,3,Y,Medium,1
CLI-700229,Small Business,NSW,20,109220,94773,5,16,N,Low,4
CLI-700230,Commercial,SA,24,1637076,812458,3,6,Y,Low,3
CLI-700231,Small Business,VIC,20,179875,253782,6,15,N,Low,0
CLI-700232,Retail Premium,NSW,14,465922,475314,4,7,Y,Low,2
CLI-700233,Commercial,NZ,2,2281518,4559050,1,5,Y,Medium,3
CLI-700234,Retail Premium,VIC,6,98131,77632,3,5,N,Medium,3
CLI-700235,Retail Premium,NSW,9,915432,1197115,4,15,N,High,3
CLI-700236,Commercial,NZ,2,2192964,4311378,3,6,Y,Low,2
CLI-700237,Small Business,SA,19,118224,64441,6,16,Y,Low,3
CLI-700238,Small Business,WA,10,294765,55601,7,24,N,Low,4
CLI-700239,Commercial,WA,12,2478244,3405060,3,4,Y,Low,3
CLI-700240,Small Business,SA,21,436562,375378,3,20,N,Medium,1
CLI-700241,Commercial,SA,7,1996761,2193569,6,1,Y,Low,2
CLI-700242,Commercial,VIC,4,661778,1152588,7,5,Y,Medium,2
CLI-700243,Small Business,SA,9,313658,23295,3,21,Y,Medium,0
CLI-700244,Small Business,NZ,4,389586,425199,2,23,N,Medium,2
CLI-700245,Small Business,SA,17,185689,254704,4,22,N,Low,4
CLI-700246,Retail Premium,WA,8,131730,64355,4,12,N,Medium,0
CLI-700247,Retail Premium,VIC,1,638463,1436356,7,5,Y,High,3
CLI-700248,Commercial,QLD,4,1420961,2111546,6,5,Y,Low,4
CLI-700249,Retail Premium,NSW,20,370760,27420,7,11,N,High,2
CLI-700250,Retail Premium,NSW,23,564127,1186669,2,14,N,Medium,1
CLI-700251,Small Business,NZ,16,92217,26465,4,8,N,Medium,2
CLI-700252,Small Business,VIC,4,125640,266323,5,21,N,Medium,4
CLI-700253,Commercial,VIC,1,776532,1221742,4,6,Y,Low,1
CLI-700254,Commercial,SA,5,515048,991725,2,4,Y,Low,0
CLI-700255,Small Business,WA,4,372622,540844,3,7,N,Medium,2
CLI-700256,Small Business,WA,23,93643,114725,5,11,Y,Low,0
CLI-700257,Small Business,NZ,11,283897,7563,5,10,N,Medium,1
CLI-700258,Retail Premium,NSW,24,889329,788486,4,4,N,Low,0
CLI-700259,Commercial,VIC,20,856451,757017,2,5,Y,Low,4
CLI-700260,Small Business,NSW,14,445697,300912,4,15,N,Medium,2
CLI-700261,Small Business,QLD,15,265160,381741,7,9,N,Medium,4
CLI-700262,Small Business,VIC,22,74734,178191,7,13,Y,Medium,3
CLI-700263,Retail Premium,NZ,9,735224,1043482,1,16,Y,High,4
CLI-700264,Commercial,QLD,4,2815812,3636621,2,4,Y,Medium,4
CLI-700265,Commercial,NZ,11,1752128,3335651,2,3,Y,Low,2
CLI-700266,Small Business,WA,11,166245,393791,2,13,N,Low,2
CLI-700267,Commercial,QLD,24,2473124,4485793,1,4,Y,High,2
CLI-700268,Small Business,NSW,7,272613,268422,1,7,Y,Low,4
CLI-700269,Retail Premium,NSW,18,549174,1263012,4,12,N,Low,3
CLI-700270,Retail Premium,VIC,5,628901,599684,6,2,N,Medium,2
CLI-700271,Commercial,NSW,5,986278,393113,4,5,Y,High,0
CLI-700272,Commercial,SA,18,2093023,3407642,7,1,Y,Medium,4
CLI-700273,Commercial,NZ,11,2833359,5385933,3,6,Y,Low,1
CLI-700274,Commercial,VIC,9,2699658,2093975,3,4,Y,Low,1
CLI-700275,Small Business,QLD,10,349304,303399,3,8,Y,Low,1
CLI-700276,Commercial,NZ,1,2450794,1602083,6,6,Y,Medium,3
CLI-700277,Small Business,VIC,17,249198,580778,4,25,N,Low,2
CLI-700278,Small Business,NZ,14,256724,218995,3,6,N,High,4
CLI-700279,Retail Premium,WA,9,215471,502691,4,4,N,Medium,0
CLI-700280,Small Business,WA,16,152997,237730,1,16,N,High,1
CLI-700281,Small Business,QLD,1,309024,374263,3,6,Y,Medium,3
CLI-700282,Small Business,QLD,15,438466,210528,7,13,N,High,0
CLI-700283,Small Business,SA,17,113661,116373,2,16,N,High,1
CLI-700284,Retail Premium,SA,17,595858,1361336,4,6,N,Medium,4
CLI-700285,Small Business,QLD,6,379526,596130,2,16,N,Medium,2
CLI-700286,Small Business,NZ,2,78041,53410,7,6,N,Medium,3
CLI-700287,Commercial,NSW,3,2223047,4650265,6,3,Y,Low,3
CLI-700288,Commercial,NZ,10,2394804,950323,6,3,Y,High,0
CLI-700289,Retail Premium,NSW,9,368839,682735,6,5,N,Low,4
CLI-700290,Retail Premium,QLD,13,818592,1930146,3,10,N,Medium,4
CLI-700291,Small Business,VIC,22,326382,310187,3,18,Y,Low,1
CLI-700292,Small Business,WA,7,207644,69392,4,22,N,Low,2
CLI-700293,Retail Premium,VIC,17,230103,286659,6,9,N,Low,4
CLI-700294,Retail Premium,SA,21,799168,1170121,7,4,N,Low,4
CLI-700295,Retail Premium,VIC,8,207682,114516,1,17,N,Medium,4
CLI-700296,Retail Premium,NSW,22,672164,633498,7,10,Y,Medium,0
CLI-700297,Small Business,NSW,2,243248,471216,1,25,N,Low,4
CLI-700298,Commercial,VIC,8,2385402,976278,4,6,Y,Low,4
CLI-700299,Retail Premium,NSW,14,920408,457936,4,3,Y,Medium,4
CLI-700300,Small Business,WA,20,403633,106287,5,16,N,Medium,1
CLI-700301,Retail Premium,SA,7,454198,20394,5,4,N,Medium,1
CLI-700302,Small Business,NSW,12,105632,206375,1,13,N,High,1
CLI-700303,Small Business,QLD,17,124867,210,1,9,N,Medium,0
CLI-700304,Retail Premium,SA,14,350941,714395,4,2,Y,Medium,1
CLI-700305,Retail Premium,WA,5,514955,443030,4,9,Y,Medium,2
CLI-700306,Small Business,NZ,19,434838,1043347,1,17,N,High,3
CLI-700307,Small Business,NSW,7,165112,342482,6,20,Y,High,4
CLI-700308,Small Business,NSW,13,291358,246710,2,7,N,High,4
CLI-700309,Small Business,WA,7,317179,240973,5,24,N,Medium,3
CLI-700310,Commercial,NZ,16,1984990,120467,2,2,Y,Low,1
CLI-700311,Commercial,NZ,22,2728668,5487856,7,1,Y,High,4
CLI-700312,Commercial,NSW,22,930491,833534,2,5,Y,High,3
CLI-700313,Retail Premium,QLD,16,301049,405687,4,4,Y,Medium,0
CLI-700314,Retail Premium,VIC,13,383569,814910,7,13,N,Medium,0
CLI-700315,Commercial,QLD,11,996352,1904110,6,1,Y,Low,1
CLI-700316,Small Business,VIC,1,446383,630375,7,17,N,Medium,0
CLI-700317,Commercial,NZ,6,396351,633893,5,2,Y,Medium,1
CLI-700318,Retail Premium,WA,21,749413,1115602,1,16,N,Medium,3
CLI-700319,Retail Premium,NZ,4,865214,157098,4,12,N,Medium,1
CLI-700320,Small Business,SA,21,292641,311060,7,12,N,High,0
CLI-700321,Small Business,WA,7,57023,80375,1,23,N,Medium,4
CLI-700322,Small Business,VIC,4,411823,564332,1,15,N,Low,0
CLI-700323,Small Business,WA,23,114734,267655,2,6,N,Medium,4
CLI-700324,Commercial,VIC,4,1567805,1482501,2,4,Y,Medium,4
CLI-700325,Small Business,NZ,3,428055,692902,2,22,Y,Medium,3
CLI-700326,Small Business,VIC,15,177107,179687,4,14,N,Medium,2
CLI-700327,Commercial,VIC,4,781367,506903,2,5,Y,Medium,4
CLI-700328,Commercial,WA,2,2316403,2097380,5,4,Y,High,4
CLI-700329,Retail Premium,NSW,22,393915,875850,3,11,N,Low,1
CLI-700330,Small Business,NZ,5,57008,55293,6,18,N,High,0
CLI-700331,Retail Premium,SA,19,264682,360978,2,10,N,High,2
CLI-700332,Commercial,WA,7,1945764,1802419,4,6,N,Low,3
CLI-700333,Commercial,VIC,18,1031997,2252079,5,5,Y,Low,1
CLI-700334,Retail Premium,NZ,11,266783,278494,1,6,N,Low,3
CLI-700335,Retail Premium,VIC,3,196144,72782,2,2,Y,Medium,1
CLI-700336,Commercial,NSW,16,2759526,761728,3,6,Y,Medium,4
CLI-700337,Retail Premium,SA,2,984018,441027,4,12,N,High,4
CLI-700338,Retail Premium,VIC,20,607177,1238372,6,8,Y,High,0
CLI-700339,Small Business,SA,1,371023,734711,1,6,N,High,0
CLI-700340,Retail Premium,WA,14,794573,1749372,6,15,N,Low,4
