Month,Region,Product,Segment,Accounts,Balance_AUD,Arrears_30d_Accounts,Arrears_90d_Accounts,Avg_LVR_Pct,New_Originations,Provision_AUD
2026-10,QLD,Credit Card,Retail,9268,36898416,539,200,,224,446328
2026-10,QLD,Business Loan,Business,870,370295634,21,6,57.5,22,1331405
2026-10,WA,Home Loan,Retail,3010,2414048018,44,12,67.2,78,4781757
2026-10,WA,Personal Loan,Retail,2265,51525589,117,41,,62,462216
2026-10,WA,Credit Card,Retail,6866,30346055,494,180,,100,382272
2026-10,WA,Business Loan,Business,611,266348666,15,4,58.0,16,641480
2026-10,NZ-North,Home Loan,Retail,2456,1884102186,35,11,69.8,56,4425107
2026-10,NZ-North,Personal Loan,Retail,1826,44345430,69,23,,33,247589
2026-10,NZ-North,Credit Card,Retail,6005,24180126,324,89,,166,135685
2026-10,NZ-North,Business Loan,Business,535,225943288,10,2,56.0,16,458059
2026-10,NZ-South,Home Loan,Retail,1404,1156894431,19,7,71.6,22,3012221
2026-10,NZ-South,Personal Loan,Retail,1010,23389858,34,13,,30,157210
2026-10,NZ-South,Credit Card,Retail,3221,12861670,169,62,,71,129093
2026-10,NZ-South,Business Loan,Business,309,126812071,6,1,56.6,5,171153
2026-11,NSW,Home Loan,Retail,6553,5013836273,90,26,65.8,152,7913935
2026-11,NSW,Personal Loan,Retail,4483,103891727,180,49,,134,638401
2026-11,NSW,Credit Card,Retail,14796,58248853,832,268,,318,544748
2026-11,NSW,Business Loan,Business,1350,584513379,29,9,60.8,34,1420066
2026-11,VIC,Home Loan,Retail,5548,4611366956,68,22,67.6,169,9962014
2026-11,VIC,Personal Loan,Retail,4209,104038112,157,52,,56,639653
2026-11,VIC,Credit Card,Retail,13484,58262352,614,169,,341,317962
2026-11,VIC,Business Loan,Business,1225,489050849,30,9,57.6,15,1732123
2026-11,QLD,Home Loan,Retail,4078,3342535309,63,19,67.5,125,6344369
2026-11,QLD,Personal Loan,Retail,3237,76495311,175,56,,54,467716
2026-11,QLD,Credit Card,Retail,9883,40083331,642,213,,299,476197
2026-11,QLD,Business Loan,Business,861,367982511,29,7,59.6,18,1221328
2026-11,WA,Home Loan,Retail,3131,2364653589,62,24,71.3,53,8535998
2026-11,WA,Personal Loan,Retail,2251,54260671,118,33,,69,355126
2026-11,WA,Credit Card,Retail,7306,31922519,420,138,,112,246651
2026-11,WA,Business Loan,Business,629,263294347,17,6,59.1,12,1442923
2026-11,NZ-North,Home Loan,Retail,2572,2117560329,38,10,67.8,78,3392258
2026-11,NZ-North,Personal Loan,Retail,1877,47246824,63,22,,49,276546
2026-11,NZ-North,Credit Card,Retail,6121,25324455,352,96,,142,166460
2026-11,NZ-North,Business Loan,Business,572,228763145,11,3,57.8,7,434923
2026-11,NZ-South,Home Loan,Retail,1392,1079950729,20,6,69.0,30,2241201
2026-11,NZ-South,Personal Loan,Retail,1044,26261168,41,14,,28,168820
2026-11,NZ-South,Credit Card,Retail,3147,13531845,145,45,,85,103283
2026-11,NZ-South,Business Loan,Business,313,134399509,7,2,57.9,4,415981
2026-12,NSW,Home Loan,Retail,6283,4765831391,88,23,67.6,136,7011722
2026-12,NSW,Personal Loan,Retail,4884,109932951,172,57,,87,667573
2026-12,NSW,Credit Card,Retail,15552,68996956,769,306,,225,627601
2026-12,NSW,Business Loan,Business,1397,538797924,33,8,56.6,21,1794250
2026-12,VIC,Home Loan,Retail,5592,4518796082,67,23,69.7,91,7279977
2026-12,VIC,Personal Loan,Retail,4034,91231111,170,55,,81,462905
2026-12,VIC,Credit Card,Retail,13052,51709827,663,236,,157,422729
2026-12,VIC,Business Loan,Business,1197,460588960,31,8,56.3,31,1675866
2026-12,QLD,Home Loan,Retail,4179,3032720951,71,21,67.1,128,8086272
2026-12,QLD,Personal Loan,Retail,2978,70779686,147,38,,60,517261
2026-12,QLD,Credit Card,Retail,9468,37441906,698,188,,256,342371
2026-12,QLD,Business Loan,Business,870,337063539,26,9,59.2,18,1467723
2026-12,WA,Home Loan,Retail,2912,2244837546,54,15,67.5,74,4565432
2026-12,WA,Personal Loan,Retail,2216,56553231,117,38,,68,509089
2026-12,WA,Credit Card,Retail,6825,28333779,430,150,,137,318987
2026-12,WA,Business Loan,Business,686,269255853,19,7,58.2,14,1274935
2026-12,NZ-North,Home Loan,Retail,2693,2221356838,34,10,70.1,47,3888933
2026-12,NZ-North,Personal Loan,Retail,1954,47110726,76,29,,46,244873
2026-12,NZ-North,Credit Card,Retail,6178,26134380,299,89,,166,143263
2026-12,NZ-North,Business Loan,Business,550,221843903,13,4,58.1,9,646272
2026-12,NZ-South,Home Loan,Retail,1451,1210656752,21,6,68.3,32,2726199
2026-12,NZ-South,Personal Loan,Retail,1071,25077689,41,16,,32,210802
2026-12,NZ-South,Credit Card,Retail,3435,14877603,178,57,,77,135576
2026-12,NZ-South,Business Loan,Business,308,132072236,7,2,57.1,3,300392
