Month,Region,ClassOfBusiness,PoliciesInForce,GrossWrittenPremiumAUD,ClaimsIncurredAUD,ClaimCount,AvgClaimSeverityAUD,LossRatioPct,RenewalRatePct
2026-02,VIC,Liability,3717,20111685,5293362,118,44859,26.3,83.0
2026-02,VIC,Travel,10985,2005796,1490560,544,2740,74.3,80.3
2026-02,QLD,Motor,17007,20999749,8179264,1126,7264,38.9,91.8
2026-02,QLD,Home,10951,22165729,10895290,491,22190,49.2,88.1
2026-02,QLD,Commercial Property,2328,19211824,8453613,133,63561,44.0,91.4
2026-02,QLD,Liability,2874,15325672,3841952,89,43168,25.1,78.6
2026-02,QLD,Travel,8507,1678416,876730,365,2402,52.2,78.4
2026-02,WA,Motor,10885,12645524,4479426,657,6818,35.4,79.8
2026-02,WA,Home,7346,13968042,7496869,349,21481,53.7,80.5
2026-02,WA,Commercial Property,1469,12692303,6458292,93,69444,50.9,84.5
2026-02,WA,Liability,1885,9637048,1853768,56,33103,19.2,82.6
2026-02,WA,Travel,5306,990287,715286,286,2501,72.2,78.0
2026-02,SA,Motor,8218,10118791,3003455,455,6601,29.7,91.3
2026-02,SA,Home,5495,11009350,4455804,228,19543,40.5,81.3
2026-02,SA,Commercial Property,1056,9221711,3938872,56,70337,42.7,90.2
2026-02,SA,Liability,1355,6871285,1393716,43,32412,20.3,83.2
2026-02,SA,Travel,4256,831394,470242,191,2462,56.6,90.0
2026-02,NZ,Motor,9021,10495126,2778921,513,5417,26.5,83.0
2026-02,NZ,Home,6014,11235832,5949304,296,20099,52.9,87.0
2026-02,NZ,Commercial Property,1267,10913653,4861440,80,60768,44.5,92.3
2026-02,NZ,Liability,1542,7671769,1693296,48,35277,22.1,92.9
2026-02,NZ,Travel,4735,855129,490644,198,2478,57.4,89.0
2026-03,NSW,Motor,24680,27932945,11593184,1616,7174,41.5,87.5
2026-03,NSW,Home,16285,33775840,16936000,725,23360,50.1,81.9
2026-03,NSW,Commercial Property,3325,28101721,11970180,162,73890,42.6,85.7
2026-03,NSW,Liability,4205,21405316,5272476,132,39943,24.6,88.6
2026-03,NSW,Travel,12564,2494398,1410016,556,2536,56.5,90.6
2026-03,VIC,Motor,22224,27734423,6698889,1233,5433,24.2,83.2
2026-03,VIC,Home,14617,28563737,12082292,614,19678,42.3,88.0
2026-03,VIC,Commercial Property,2891,23983747,12243060,170,72018,51.0,78.3
2026-03,VIC,Liability,3936,20871248,4400344,104,42311,21.1,81.8
2026-03,VIC,Travel,10442,1944767,1566446,574,2729,80.5,89.4
2026-03,QLD,Motor,17313,20385143,6758136,1113,6072,33.2,82.8
2026-03,QLD,Home,11906,24264670,13023465,609,21385,53.7,84.4
2026-03,QLD,Commercial Property,2360,20474261,10402560,144,72240,50.8,93.2
2026-03,QLD,Liability,3128,16210985,3405888,81,42048,21.0,88.5
2026-03,QLD,Travel,8371,1563074,959400,468,2050,61.4,82.5
2026-03,WA,Motor,10894,12657568,5595570,790,7083,44.2,84.4
2026-03,WA,Home,7057,14344951,6880720,308,22340,48.0,86.3
2026-03,WA,Commercial Property,1506,12608925,6142795,95,64661,48.7,92.0
2026-03,WA,Liability,1872,9778072,2090770,55,38014,21.4,83.4
2026-03,WA,Travel,5496,1001855,662966,289,2294,66.2,89.1
2026-03,SA,Motor,8039,9206020,2920194,477,6122,31.7,90.3
2026-03,SA,Home,5390,10062472,4486420,202,22210,44.6,91.4
2026-03,SA,Commercial Property,1145,9666670,3487008,56,62268,36.1,80.4
2026-03,SA,Liability,1387,7258817,1673620,41,40820,23.1,82.4
2026-03,SA,Travel,4111,753331,558656,203,2752,74.2,93.0
2026-03,NZ,Motor,9528,10761837,4016584,572,7022,37.3,92.2
2026-03,NZ,Home,6315,12192491,6259092,277,22596,51.3,86.2
2026-03,NZ,Commercial Property,1182,10033029,4660011,81,57531,46.4,91.1
2026-03,NZ,Liability,1566,7968360,2205087,51,43237,27.7,93.2
2026-03,NZ,Travel,4497,852914,460224,192,2397,54.0,89.9
2026-04,NSW,Motor,25869,31775076,12153260,1847,6580,38.2,78.0
2026-04,NSW,Home,16410,31588045,13930560,720,19348,44.1,89.2
2026-04,NSW,Commercial Property,3294,29033577,13086995,205,63839,45.1,88.3
2026-04,NSW,Liability,4226,21888362,5723640,130,44028,26.1,93.3
2026-04,NSW,Travel,12856,2581117,1777548,668,2661,68.9,85.7
2026-04,VIC,Motor,21661,25847630,8475399,1429,5931,32.8,83.5
2026-04,VIC,Home,15439,30304768,13166840,670,19652,43.4,84.4
2026-04,VIC,Commercial Property,2804,22405459,9225252,162,56946,41.2,79.6
2026-04,VIC,Liability,3638,18680747,5013250,110,45575,26.8,90.7
2026-04,VIC,Travel,11111,2041742,1375920,540,2548,67.4,93.5
2026-04,QLD,Motor,17474,20721523,6925824,1152,6012,33.4,93.2
2026-04,QLD,Home,11538,22484826,10030867,553,18139,44.6,81.1
2026-04,QLD,Commercial Property,2418,19632520,10496835,171,61385,53.5,81.5
2026-04,QLD,Liability,2963,15539184,3563496,86,41436,22.9,80.2
2026-04,QLD,Travel,8799,1664598,1016226,459,2214,61.0,91.3
2026-04,WA,Motor,10886,12753928,5076047,799,6353,39.8,84.0
2026-04,WA,Home,7560,14735295,6905808,336,20553,46.9,84.2
2026-04,WA,Commercial Property,1493,12269779,5398875,75,71985,44.0,81.7
2026-04,WA,Liability,1830,9365543,2024335,53,38195,21.6,90.7
2026-04,WA,Travel,5777,1092787,695640,310,2244,63.7,83.5
2026-04,SA,Motor,8034,9966855,2483868,461,5388,24.9,79.1
2026-04,SA,Home,5385,10976968,5892642,238,24759,53.7,81.0
2026-04,SA,Commercial Property,1084,9160222,4200235,65,64619,45.9,80.5
2026-04,SA,Liability,1436,7142023,1261299,39,32341,17.7,90.2
2026-04,SA,Travel,4077,772566,568862,227,2506,73.6,89.8
2026-04,NZ,Motor,8909,10498746,4466931,613,7287,42.5,86.2
2026-04,NZ,Home,6446,13282993,6809274,279,24406,51.3,88.4
2026-04,NZ,Commercial Property,1222,10832112,4467381,73,61197,41.2,79.9
2026-04,NZ,Liability,1626,8130336,1331967,41,32487,16.4,81.0
2026-04,NZ,Travel,4820,966326,634179,273,2323,65.6,89.0
2026-05,NSW,Motor,25976,29906947,9943488,1464,6792,33.2,90.6
2026-05,NSW,Home,17086,34944699,16930092,852,19871,48.4,81.8
2026-05,NSW,Commercial Property,3313,27337010,11693220,210,55682,42.8,79.9
2026-05,NSW,Liability,4211,22174318,6157560,138,44620,27.8,82.8
2026-05,NSW,Travel,12084,2304523,1403568,648,2166,60.9,85.4
2026-05,VIC,Motor,21412,24364274,9409752,1308,7194,38.6,84.4
2026-05,VIC,Home,14942,30176558,13913690,565,24626,46.1,85.4
2026-05,VIC,Commercial Property,2825,24287081,11647962,162,71901,48.0,88.3
2026-05,VIC,Liability,3907,19339961,4820376,124,38874,24.9,89.9
2026-05,VIC,Travel,10862,2010433,1483482,627,2366,73.8,87.0
2026-05,QLD,Motor,17536,20367494,7165972,1067,6716,35.2,85.5
2026-05,QLD,Home,12211,24917260,14924640,620,24072,59.9,84.2
2026-05,QLD,Commercial Property,2287,20091588,11024820,180,61249,54.9,90.9
2026-05,QLD,Liability,3114,15876396,3319250,85,39050,20.9,86.8
2026-05,QLD,Travel,8780,1694181,1031680,512,2015,60.9,83.3
2026-05,WA,Motor,11014,13150549,5391237,789,6833,41.0,79.8
2026-05,WA,Home,7216,14572139,5166280,280,18451,35.5,89.9
2026-05,WA,Commercial Property,1427,12547619,5982030,90,66467,47.7,87.8
2026-05,WA,Liability,1881,9970882,1900362,51,37262,19.1,83.2
2026-05,WA,Travel,5540,1067088,615160,260,2366,57.6,82.3
2026-05,SA,Motor,8058,10066181,3234159,549,5891,32.1,85.7
2026-05,SA,Home,5344,10662649,4835038,221,21878,45.3,87.6
2026-05,SA,Commercial Property,1066,8957220,3804396,68,55947,42.5,78.5
2026-05,SA,Liability,1470,7366132,1737050,49,35450,23.6,81.0
2026-05,SA,Travel,4063,768182,489954,222,2207,63.8,82.9
2026-05,NZ,Motor,8970,10806584,3562676,523,6812,33.0,89.8
2026-05,NZ,Home,6010,11707950,6755400,360,18765,57.7,81.8
2026-05,NZ,Commercial Property,1229,10382052,4405492,76,57967,42.4,82.8
2026-05,NZ,Liability,1536,8080788,1968564,52,37857,24.4,78.1
2026-05,NZ,Travel,4536,851582,563083,263,2141,66.1,92.3
2026-06,NSW,Motor,26056,29779591,8848422,1541,5742,29.7,91.0
2026-06,NSW,Home,17431,32967511,16535404,866,19094,50.2,93.4
2026-06,NSW,Commercial Property,3227,26264370,13715702,217,63206,52.2,91.3
2026-06,NSW,Liability,4386,22133682,5618328,131,42888,25.4,91.9
2026-06,NSW,Travel,12256,2439487,1888550,706,2675,77.4,81.5
2026-06,VIC,Motor,23095,26935192,9403500,1500,6269,34.9,89.0
2026-06,VIC,Home,14482,27540409,11063532,562,19686,40.2,82.2
2026-06,VIC,Commercial Property,2865,23844331,12184652,172,70841,51.1,90.9
2026-06,VIC,Liability,3804,19304554,4854252,111,43732,25.1,84.7
2026-06,VIC,Travel,10703,2110057,1277904,632,2022,60.6,92.5
2026-06,QLD,Motor,18460,22636333,8403378,1398,6011,37.1,78.3
2026-06,QLD,Home,11911,22197996,16581600,700,23688,74.7,89.0
2026-06,QLD,Commercial Property,2426,20728682,9468563,169,56027,45.7,87.4
2026-06,QLD,Liability,3096,15908405,3282250,95,34550,20.6,86.1
2026-06,QLD,Travel,9284,1863431,1041216,528,1972,55.9,84.6
2026-06,WA,Motor,11321,14109543,4960080,830,5976,35.2,86.2
2026-06,WA,Home,7343,14972368,6854163,303,22621,45.8,93.2
2026-06,WA,Commercial Property,1511,12420276,4481874,82,54657,36.1,91.5
2026-06,WA,Liability,2019,10397035,2578294,67,38482,24.8,93.0
2026-06,WA,Travel,5565,1117875,671400,300,2238,60.1,92.3
2026-06,SA,Motor,8365,9951051,3258158,479,6802,32.7,84.6
2026-06,SA,Home,5770,10792163,5014305,243,20635,46.5,87.4
2026-06,SA,Commercial Property,1092,8762159,4233570,66,64145,48.3,93.0
2026-06,SA,Liability,1459,7489537,1807302,42,43031,24.1,92.9
2026-06,SA,Travel,4325,790689,469536,201,2336,59.4,78.8
2026-06,NZ,Motor,9482,11718521,4222820,695,6076,36.0,79.1
2026-06,NZ,Home,6495,12989009,7681311,333,23067,59.1,84.1
2026-06,NZ,Commercial Property,1299,10986775,6081370,89,68330,55.4,78.4
2026-06,NZ,Liability,1651,8526484,1659552,48,34574,19.5,81.2
2026-06,NZ,Travel,4846,894355,594996,277,2148,66.5,83.8
2026-07,NSW,Motor,25058,31223572,11411446,1594,7159,36.5,89.1
2026-07,NSW,Home,16557,31146490,15492568,676,22918,49.7,78.9
2026-07,NSW,Commercial Property,3258,28929134,10362009,183,56623,35.8,82.4
2026-07,NSW,Liability,4190,21606867,4879227,113,43179,22.6,92.9
2026-07,NSW,Travel,12552,2430239,1513506,579,2614,62.3,89.3
2026-07,VIC,Motor,23270,26613494,11044902,1562,7071,41.5,87.2
2026-07,VIC,Home,15717,31895678,17808425,757,23525,55.8,80.7
2026-07,VIC,Commercial Property,3049,25902770,9606912,168,57184,37.1,93.5
2026-07,VIC,Liability,3830,19179049,4663824,132,35332,24.3,91.2
2026-07,VIC,Travel,11239,2099613,1134000,567,2000,54.0,82.9
2026-07,QLD,Motor,18000,20923360,8171259,1271,6429,39.1,80.6
2026-07,QLD,Home,12333,24997576,13229370,630,20999,52.9,83.4
2026-07,QLD,Commercial Property,2426,21219242,10812189,183,59083,51.0,86.1
2026-07,QLD,Liability,2984,15578134,3790500,100,37905,24.3,82.3
2026-07,QLD,Travel,8598,1656322,1141866,474,2409,68.9,83.0
2026-07,WA,Motor,11106,12600644,5941404,812,7317,47.2,84.2
2026-07,WA,Home,7888,16044926,8058114,359,22446,50.2,89.3
2026-07,WA,Commercial Property,1578,13551945,7352928,99,74272,54.3,93.5
2026-07,WA,Liability,1978,10115651,2376248,56,42433,23.5,93.0
2026-07,WA,Travel,5414,1082049,705636,306,2306,65.2,92.8
2026-07,SA,Motor,8616,10450343,4188486,579,7234,40.1,78.4
2026-07,SA,Home,5586,11272619,6303920,280,22514,55.9,89.9
2026-07,SA,Commercial Property,1114,9126375,4981408,68,73256,54.6,90.7
2026-07,SA,Liability,1436,7207413,1551611,47,33013,21.5,79.4
2026-07,SA,Travel,4296,845877,514800,234,2200,60.9,87.3
2026-07,NZ,Motor,9130,10293215,3884104,602,6452,37.7,84.3
2026-07,NZ,Home,6508,12346157,8239635,419,19665,66.7,80.9
2026-07,NZ,Commercial Property,1221,10047403,6068970,90,67433,60.4,83.8
2026-07,NZ,Liability,1610,8412986,2078874,49,42426,24.7,81.7
2026-07,NZ,Travel,4784,913985,651276,237,2748,71.3,83.7
2026-08,NSW,Motor,26861,32366509,11381292,1758,6474,35.2,91.2
2026-08,NSW,Home,17260,32296746,17392796,766,22706,53.9,90.8
2026-08,NSW,Commercial Property,3356,27136826,9419696,176,53521,34.7,79.9
2026-08,NSW,Liability,4467,23683734,4797123,123,39001,20.3,86.8
2026-08,NSW,Travel,13228,2414422,1761306,746,2361,72.9,83.8
2026-08,VIC,Motor,22960,27125330,11174570,1705,6554,41.2,79.2
2026-08,VIC,Home,15065,30480005,13014520,680,19139,42.7,90.0
2026-08,VIC,Commercial Property,3117,26568509,10796148,199,54252,40.6,93.0
2026-08,VIC,Liability,3893,21287790,5090235,137,37155,23.9,78.7
2026-08,VIC,Travel,11919,2231985,1466624,674,2176,65.7,88.6
2026-08,QLD,Motor,17543,20762336,9896246,1381,7166,47.7,90.5
2026-08,QLD,Home,11993,23540101,15618750,714,21875,66.3,86.9
2026-08,QLD,Commercial Property,2501,20965014,16235127,219,74133,77.4,87.2
2026-08,QLD,Liability,3055,15622714,4384111,107,40973,28.1,85.4
2026-08,QLD,Travel,9126,1738909,1252637,457,2741,72.0,82.1
2026-08,WA,Motor,11342,13656924,5231436,868,6027,38.3,91.5
2026-08,WA,Home,7531,15314011,8087429,371,21799,52.8,93.5
2026-08,WA,Commercial Property,1445,11910035,5755005,95,60579,48.3,82.7
2026-08,WA,Liability,1980,10160751,2383270,61,39070,23.5,81.9
2026-08,WA,Travel,5483,997359,681904,272,2507,68.4,91.8
2026-08,SA,Motor,8136,9737464,3466240,640,5416,35.6,79.5
2026-08,SA,Home,5860,11780755,6023095,247,24385,51.1,86.3
2026-08,SA,Commercial Property,1116,9247865,4007040,64,62610,43.3,90.0
2026-08,SA,Liability,1422,7295172,1921140,45,42692,26.3,85.7
2026-08,SA,Travel,4275,828503,510489,219,2331,61.6,90.7
2026-08,NZ,Motor,9155,10839475,4517088,669,6752,41.7,88.4
2026-08,NZ,Home,6339,13099417,8288544,334,24816,63.3,83.1
2026-08,NZ,Commercial Property,1257,10799218,5273532,92,57321,48.8,80.4
2026-08,NZ,Liability,1636,8856427,1883728,44,42812,21.3,85.5
2026-08,NZ,Travel,4524,841815,600820,220,2731,71.4,90.4
2026-09,NSW,Motor,26822,31686798,12893628,2014,6402,40.7,81.9
2026-09,NSW,Home,17440,33180792,15611232,728,21444,47.0,81.5
2026-09,NSW,Commercial Property,3487,30432897,14608392,213,68584,48.0,81.1
2026-09,NSW,Liability,4403,22600798,5797638,141,41118,25.7,82.9
2026-09,NSW,Travel,12501,2486019,1713500,745,2300,68.9,91.1
2026-09,VIC,Motor,22667,27277000,10640000,1750,6080,39.0,81.5
2026-09,VIC,Home,14983,28829258,16131105,789,20445,56.0,82.5
2026-09,VIC,Commercial Property,3144,26155795,10875922,191,56942,41.6,84.1
2026-09,VIC,Liability,3916,20236316,4746226,113,42002,23.5,79.2
2026-09,VIC,Travel,11019,2216340,1153757,583,1979,52.1,82.6
2026-09,QLD,Motor,17353,21264104,6422821,1139,5639,30.2,87.7
2026-09,QLD,Home,12628,24132448,14166882,691,20502,58.7,86.8
2026-09,QLD,Commercial Property,2399,19222414,13801200,212,65100,71.8,93.6
2026-09,QLD,Liability,3267,17727516,3895144,88,44263,22.0,91.6
2026-09,QLD,Travel,8914,1623404,1132428,506,2238,69.8,92.5
2026-09,WA,Motor,11041,13438468,4011942,683,5874,29.9,88.8
2026-09,WA,Home,7402,14553061,7078788,372,19029,48.6,88.7
2026-09,WA,Commercial Property,1587,14095993,5243264,92,56992,37.2,86.0
2026-09,WA,Liability,2038,10294755,2434144,58,41968,23.6,79.7
2026-09,WA,Travel,6005,1198803,932050,350,2663,77.7,88.9
2026-09,SA,Motor,8479,10187924,4763030,670,7109,46.8,93.1
2026-09,SA,Home,5970,11642211,5519145,303,18215,47.4,88.9
2026-09,SA,Commercial Property,1146,9290134,4440933,63,70491,47.8,82.3
2026-09,SA,Liability,1459,7468321,2147150,50,42943,28.8,89.0
2026-09,SA,Travel,4427,865162,527308,241,2188,60.9,78.5
2026-09,NZ,Motor,9974,12248586,4389948,788,5571,35.8,85.7
2026-09,NZ,Home,6147,11822055,7581028,364,20827,64.1,86.0
2026-09,NZ,Commercial Property,1306,10956713,6670729,113,59033,60.9,93.6
2026-09,NZ,Liability,1708,9053683,1721568,48,35866,19.0,84.0
2026-09,NZ,Travel,4788,925032,493120,230,2144,53.3,89.9
2026-10,NSW,Motor,25132,29898771,10606037,1747,6071,35.5,85.5
2026-10,NSW,Home,17774,34583155,15656310,730,21447,45.3,80.6
2026-10,NSW,Commercial Property,3388,27870028,13048830,186,70155,46.8,83.7
2026-10,NSW,Liability,4426,22047283,5341875,125,42735,24.2,89.3
2026-10,NSW,Travel,13024,2515522,1493530,641,2330,59.4,83.0
2026-10,VIC,Motor,22389,26614553,11109054,1686,6589,41.7,93.7
2026-10,VIC,Home,15475,29600609,14018029,641,21869,47.4,92.3
2026-10,VIC,Commercial Property,2937,23927389,12118392,198,61204,50.6,87.1
2026-10,VIC,Liability,3965,21208534,5121261,141,36321,24.1,89.1
2026-10,VIC,Travel,11425,2236496,1358973,693,1961,60.8,85.7
2026-10,QLD,Motor,18736,22439175,7517274,1159,6486,33.5,80.2
2026-10,QLD,Home,12554,24320630,17522400,894,19600,72.0,78.2
2026-10,QLD,Commercial Property,2413,19297505,13266199,229,57931,68.7,82.4
2026-10,QLD,Liability,3299,17034442,3816645,105,36349,22.4,92.8
2026-10,QLD,Travel,9410,1892573,910804,436,2089,48.1,80.1
2026-10,WA,Motor,11913,13932279,6340336,892,7108,45.5,92.3
2026-10,WA,Home,7707,14834438,6148912,341,18032,41.5,90.5
2026-10,WA,Commercial Property,1479,12236958,5833922,94,62063,47.7,84.0
2026-10,WA,Liability,1985,10292563,2535831,61,41571,24.6,91.2
2026-10,WA,Travel,5598,1012212,660339,333,1983,65.2,84.1
2026-10,SA,Motor,8435,9646416,2859690,519,5510,29.6,92.3
2026-10,SA,Home,6074,12143604,7051398,302,23349,58.1,83.7
2026-10,SA,Commercial Property,1183,9543780,5535068,77,71884,58.0,80.3
2026-10,SA,Liability,1560,8555855,1939680,45,43104,22.7,79.0
2026-10,SA,Travel,4261,791822,486900,225,2164,61.5,93.5
2026-10,NZ,Motor,9418,11015195,4211445,665,6333,38.2,83.0
2026-10,NZ,Home,6571,12533657,9928656,423,23472,79.2,91.2
2026-10,NZ,Commercial Property,1251,10715631,7461423,103,72441,69.6,93.4
2026-10,NZ,Liability,1708,9228931,1801436,52,34643,19.5,90.7
2026-10,NZ,Travel,4918,985627,723789,297,2437,73.4,90.3
2026-11,NSW,Motor,25250,28978346,11348016,1623,6992,39.2,79.4
2026-11,NSW,Home,17169,34263082,21754002,899,24198,63.5,84.1
2026-11,NSW,Commercial Property,3581,29572024,14134512,236,59892,47.8,93.4
2026-11,NSW,Liability,4547,24969713,5638000,125,45104,22.6,93.0
2026-11,NSW,Travel,13670,2736315,2035040,790,2576,74.4,80.0
2026-11,VIC,Motor,22890,26790935,9297846,1467,6338,34.7,80.4
2026-11,VIC,Home,14871,30498403,13626196,716,19031,44.7,78.7
2026-11,VIC,Commercial Property,2966,25313924,10906662,201,54262,43.1,88.5
2026-11,VIC,Liability,4178,20947677,4967130,147,33790,23.7,79.2
2026-11,VIC,Travel,11502,2240070,1534500,660,2325,68.5,79.0
2026-11,QLD,Motor,17644,21287119,7390242,1359,5438,34.7,83.5
2026-11,QLD,Home,11727,23075649,17300430,735,23538,75.0,78.7
2026-11,QLD,Commercial Property,2423,20161794,14823732,244,60753,73.5,90.1
2026-11,QLD,Liability,3047,15353751,4510799,107,42157,29.4,92.6
2026-11,QLD,Travel,8909,1659761,1257640,460,2734,75.8,80.2
2026-11,WA,Motor,11277,13018387,4775680,910,5248,36.7,78.7
2026-11,WA,Home,7566,14831420,6647850,306,21725,44.8,80.6
2026-11,WA,Commercial Property,1597,13175128,5755398,97,59334,43.7,86.4
2026-11,WA,Liability,2016,10995390,2195520,64,34305,20.0,86.7
2026-11,WA,Travel,5975,1183051,976304,368,2653,82.5,93.7
2026-11,SA,Motor,8645,9748065,3734369,547,6827,38.3,92.5
2026-11,SA,Home,5777,11879012,5691794,302,18847,47.9,90.8
2026-11,SA,Commercial Property,1171,9462270,5522748,84,65747,58.4,85.7
2026-11,SA,Liability,1523,8149518,1588702,46,34537,19.5,93.1
2026-11,SA,Travel,4155,782678,635454,258,2463,81.2,86.8
2026-11,NZ,Motor,10032,12421932,3887520,623,6240,31.3,89.8
2026-11,NZ,Home,6757,12760672,9814016,512,19168,76.9,84.3
2026-11,NZ,Commercial Property,1285,10414622,9499930,134,70895,91.2,89.3
2026-11,NZ,Liability,1611,8345718,1829984,52,35192,21.9,79.4
2026-11,NZ,Travel,5033,980345,784016,304,2579,80.0,79.4
2026-12,NSW,Motor,25938,30252284,11311300,1925,5876,37.4,83.4
2026-12,NSW,Home,17442,32919601,17045910,933,18270,51.8,81.5
2026-12,NSW,Commercial Property,3473,29280115,11985344,224,53506,40.9,83.1
2026-12,NSW,Liability,4521,22397658,4646803,127,36589,20.7,83.0
2026-12,NSW,Travel,12966,2416668,2173149,813,2673,89.9,87.4
2026-12,VIC,Motor,23549,27168593,9856080,1458,6760,36.3,78.5
2026-12,VIC,Home,15144,28834206,12876441,687,18743,44.7,87.3
2026-12,VIC,Commercial Property,3077,26985810,10723254,178,60243,39.7,80.0
2026-12,VIC,Liability,3982,21261451,5839432,136,42937,27.5,87.7
2026-12,VIC,Travel,12008,2222401,1532748,771,1988,69.0,84.9
2026-12,QLD,Motor,19173,23901812,9027010,1355,6662,37.8,78.7
2026-12,QLD,Home,12004,24178432,16186572,828,19549,66.9,86.3
2026-12,QLD,Commercial Property,2451,20294589,16930105,235,72043,83.4,93.7
2026-12,QLD,Liability,3305,17592521,4191770,106,39545,23.8,87.5
2026-12,QLD,Travel,9696,1882636,1295182,497,2606,68.8,93.3
2026-12,WA,Motor,11299,12792207,4424556,782,5658,34.6,93.6
2026-12,WA,Home,7546,14981065,9336182,386,24187,62.3,87.2
2026-12,WA,Commercial Property,1550,12764328,5792332,91,63652,45.4,89.0
2026-12,WA,Liability,2067,10322175,3079300,70,43990,29.8,86.2
2026-12,WA,Travel,5844,1096926,937392,354,2648,85.5,91.2
2026-12,SA,Motor,9191,11138322,4634480,760,6098,41.6,92.0
2026-12,SA,Home,5820,10998170,5336952,268,19914,48.5,87.9
2026-12,SA,Commercial Property,1164,10065888,5076318,78,65081,50.4,82.8
2026-12,SA,Liability,1450,7464402,1747768,44,39722,23.4,92.6
2026-12,SA,Travel,4594,856073,612928,244,2512,71.6,81.3
2026-12,NZ,Motor,9971,12131451,4492709,701,6409,37.0,87.4
2026-12,NZ,Home,6220,12684355,11833920,504,23480,93.3,88.3
2026-12,NZ,Commercial Property,1345,11612789,7140396,123,58052,61.5,82.0
2026-12,NZ,Liability,1620,8171760,1584945,45,35221,19.4,80.3
2026-12,NZ,Travel,4982,965377,627972,258,2434,65.0,79.5
