MemberRef,Segment,State,InvestmentOption,BalanceAUD,AnnualContributionAUD,InsuranceCover,EngagementLevel,SwitchedLast12m,AdviserLinked,ContactsLast12m
MBR-500195,Pre-retirement 60-64,WA,Conservative,980576,105553,Y,Medium,N,Y,9
MBR-500196,Accumulation 35-49,NZ,Sustainable,252500,16816,Y,Medium,N,N,7
MBR-500197,Accumulation 35-49,QLD,Cash,73351,2043,Y,High,Y,N,2
MBR-500198,Accumulation 35-49,VIC,Cash,116169,6833,Y,Low,N,Y,9
MBR-500199,Accumulation <35,QLD,MySuper Balanced,51579,3630,Y,Medium,N,Y,6
MBR-500200,Accumulation <35,QLD,Indexed Shares,41644,3859,Y,High,N,Y,8
MBR-500201,Accumulation 35-49,TAS,Conservative,139408,15095,Y,Medium,N,N,7
MBR-500202,Pension 65+,NSW,Conservative,571623,0,Y,Medium,N,N,6
MBR-500203,Pension 65+,SA,Conservative,316119,0,Y,Medium,N,N,5
MBR-500204,Pre-retirement 60-64,SA,Conservative,876421,94676,N,Medium,N,N,3
MBR-500205,Accumulation 50-59,TAS,MySuper Balanced,479766,25615,Y,Medium,N,N,7
MBR-500206,Pension 65+,VIC,Indexed Shares,625801,0,Y,High,N,Y,1
MBR-500207,Pre-retirement 60-64,VIC,Indexed Shares,935910,42372,Y,High,N,Y,6
MBR-500208,Pension 65+,TAS,Growth,863966,0,Y,High,Y,Y,2
MBR-500209,Accumulation <35,WA,MySuper Balanced,98050,7603,Y,Medium,N,Y,0
MBR-500210,Accumulation <35,VIC,Cash,51718,1270,N,Low,N,Y,1
MBR-500211,Accumulation 50-59,VIC,Conservative,369182,12889,Y,Medium,Y,N,3
MBR-500212,Pre-retirement 60-64,NSW,Indexed Shares,602824,54817,N,Low,N,N,4
MBR-500213,Pension 65+,SA,Cash,1247306,0,Y,Medium,Y,N,5
MBR-500214,Accumulation 35-49,NSW,MySuper Balanced,313876,20463,Y,Low,N,N,8
MBR-500215,Pre-retirement 60-64,NSW,Cash,302742,6380,Y,Medium,N,Y,5
MBR-500216,Accumulation <35,QLD,Cash,92939,3619,N,Low,N,Y,5
MBR-500217,Accumulation 35-49,NZ,Indexed Shares,390828,20715,Y,Low,N,Y,9
MBR-500218,Pension 65+,VIC,MySuper Balanced,1215821,0,N,Low,N,N,7
MBR-500219,Accumulation 50-59,NZ,Conservative,677795,32387,N,High,N,N,8
MBR-500220,Pension 65+,QLD,Indexed Shares,1449677,0,Y,Low,N,N,1
MBR-500221,Accumulation 35-49,TAS,MySuper Balanced,395835,26753,N,Medium,N,N,6
MBR-500222,Accumulation 50-59,NZ,Indexed Shares,621609,38105,Y,Low,N,N,8
MBR-500223,Pre-retirement 60-64,VIC,Conservative,995841,50006,N,Medium,N,Y,9
MBR-500224,Accumulation 50-59,NZ,MySuper Balanced,100745,6479,N,Medium,Y,N,5
MBR-500225,Accumulation 35-49,VIC,Conservative,341175,11861,Y,Medium,Y,Y,5
MBR-500226,Pension 65+,SA,MySuper Balanced,1171393,0,Y,Medium,N,N,9
MBR-500227,Accumulation 50-59,NSW,Growth,541066,13931,N,Low,N,N,4
MBR-500228,Pre-retirement 60-64,TAS,Indexed Shares,548084,34822,Y,Medium,N,N,2
MBR-500229,Pension 65+,NSW,Cash,712315,0,Y,Low,N,N,6
MBR-500230,Accumulation 35-49,VIC,Indexed Shares,308534,8585,Y,High,N,N,7
MBR-500231,Pension 65+,SA,Indexed Shares,1192643,0,N,Medium,N,N,9
MBR-500232,Accumulation 35-49,NSW,Conservative,190304,10213,N,High,N,Y,4
MBR-500233,Accumulation <35,QLD,Growth,15104,1301,Y,Low,N,N,4
MBR-500234,Pension 65+,WA,Conservative,761891,0,N,Low,N,N,5
MBR-500235,Accumulation 50-59,NZ,MySuper Balanced,656429,29487,N,High,N,N,9
MBR-500236,Accumulation 50-59,WA,Cash,763292,77166,Y,Medium,N,N,6
MBR-500237,Pre-retirement 60-64,TAS,Growth,991101,51181,Y,Low,N,N,2
MBR-500238,Accumulation <35,TAS,Indexed Shares,96776,6720,Y,Medium,N,N,6
MBR-500239,Accumulation <35,NZ,Growth,27951,2105,Y,Medium,N,N,8
MBR-500240,Accumulation <35,TAS,Indexed Shares,49768,1150,Y,Low,N,N,7
MBR-500241,Accumulation 35-49,TAS,Growth,401170,37725,Y,Medium,N,Y,6
MBR-500242,Pre-retirement 60-64,NSW,Cash,1054711,25505,N,Medium,N,N,3
MBR-500243,Pre-retirement 60-64,WA,Growth,646225,66708,Y,High,N,N,8
MBR-500244,Accumulation 50-59,WA,Cash,138983,4298,Y,Low,N,Y,0
MBR-500245,Pension 65+,VIC,Sustainable,406015,0,N,Medium,N,Y,9
MBR-500246,Accumulation <35,WA,Cash,28626,2885,N,Medium,N,N,8
MBR-500247,Accumulation <35,SA,Indexed Shares,94653,6944,Y,Medium,Y,Y,5
MBR-500248,Pre-retirement 60-64,NZ,Conservative,1135120,64830,Y,Low,N,N,8
MBR-500249,Accumulation 50-59,NSW,Conservative,481842,9865,Y,Low,N,N,0
MBR-500250,Pre-retirement 60-64,VIC,Sustainable,1069662,114208,Y,Medium,N,N,2
MBR-500251,Accumulation 35-49,SA,Sustainable,255425,10166,Y,High,N,Y,6
MBR-500252,Pension 65+,QLD,Cash,1326225,0,Y,Low,N,N,3
MBR-500253,Pension 65+,TAS,MySuper Balanced,1142516,0,N,Medium,N,N,1
MBR-500254,Pre-retirement 60-64,SA,Cash,534103,46025,N,Low,N,N,8
MBR-500255,Accumulation <35,NZ,Indexed Shares,63433,3883,N,Low,Y,N,7
MBR-500256,Pension 65+,SA,Sustainable,1455791,0,Y,Low,N,N,2
MBR-500257,Pre-retirement 60-64,SA,MySuper Balanced,718416,69471,N,Low,N,Y,7
MBR-500258,Accumulation <35,NSW,MySuper Balanced,66818,3447,Y,Medium,N,N,2
MBR-500259,Pension 65+,SA,Growth,466490,0,Y,High,N,N,6
MBR-500260,Pre-retirement 60-64,NZ,Indexed Shares,1065826,114621,Y,Low,N,Y,4
MBR-500261,Pre-retirement 60-64,NZ,Growth,1156273,76260,N,Low,Y,N,8
MBR-500262,Accumulation 35-49,WA,Growth,285447,12681,N,Low,N,Y,6
MBR-500263,Pension 65+,QLD,Cash,319082,0,N,Medium,N,Y,1
MBR-500264,Accumulation <35,QLD,Growth,70316,6237,Y,Medium,Y,N,4
MBR-500265,Accumulation 35-49,QLD,Sustainable,80096,5668,N,High,N,N,5
MBR-500266,Accumulation <35,NSW,Growth,86478,4361,Y,Low,N,Y,2
MBR-500267,Accumulation 35-49,NSW,Growth,198489,14848,Y,Low,N,Y,0
MBR-500268,Accumulation <35,QLD,Sustainable,82659,2266,Y,High,N,N,2
MBR-500269,Pre-retirement 60-64,NZ,Growth,572615,47973,N,Low,N,N,3
MBR-500270,Pension 65+,TAS,Sustainable,1263738,0,Y,Low,N,N,7
MBR-500271,Accumulation 35-49,NZ,Indexed Shares,164618,9698,Y,High,N,N,1
MBR-500272,Accumulation 35-49,SA,Sustainable,115938,7535,Y,Medium,N,Y,6
MBR-500273,Pre-retirement 60-64,NZ,Cash,830558,89374,N,Low,N,N,1
MBR-500274,Accumulation <35,NZ,Conservative,67619,2641,N,Medium,N,N,6
MBR-500275,Pre-retirement 60-64,TAS,Cash,947333,59174,Y,Medium,N,N,0
MBR-500276,Accumulation 35-49,NZ,Indexed Shares,181299,12948,Y,Low,N,N,3
MBR-500277,Accumulation 35-49,NSW,Sustainable,137780,3318,N,Medium,N,N,6
MBR-500278,Pension 65+,QLD,Conservative,329763,0,Y,High,N,N,0
MBR-500279,Pre-retirement 60-64,QLD,Growth,188975,20517,Y,Low,N,Y,2
MBR-500280,Accumulation 35-49,NSW,Cash,319166,28249,Y,Low,N,N,5
MBR-500281,Pre-retirement 60-64,NSW,Growth,851097,23028,Y,Low,N,N,0
MBR-500282,Accumulation <35,VIC,MySuper Balanced,65246,2444,Y,Medium,Y,Y,2
MBR-500283,Pre-retirement 60-64,WA,Conservative,843601,48717,Y,Low,N,N,9
MBR-500284,Accumulation <35,NZ,Cash,48431,3865,Y,Medium,N,Y,2
MBR-500285,Pre-retirement 60-64,SA,Sustainable,833568,22742,Y,Medium,N,Y,8
MBR-500286,Accumulation 50-59,VIC,MySuper Balanced,191554,16817,N,High,N,Y,5
MBR-500287,Accumulation 50-59,VIC,Sustainable,143053,4669,Y,Medium,N,N,0
MBR-500288,Accumulation 50-59,NZ,Indexed Shares,486027,39176,Y,Medium,N,N,3
MBR-500289,Pre-retirement 60-64,QLD,Sustainable,682738,68574,N,Low,N,N,3
MBR-500290,Pre-retirement 60-64,SA,MySuper Balanced,875607,66652,Y,Medium,N,N,1
MBR-500291,Accumulation 35-49,VIC,MySuper Balanced,75720,8077,N,Medium,N,N,1
MBR-500292,Accumulation 50-59,SA,MySuper Balanced,477443,19486,N,Low,N,N,2
MBR-500293,Accumulation <35,SA,Sustainable,73921,3707,Y,Low,N,N,5
MBR-500294,Accumulation 50-59,WA,MySuper Balanced,499209,10337,N,High,N,Y,3
MBR-500295,Pension 65+,NSW,Conservative,223414,0,N,Medium,Y,N,2
MBR-500296,Pre-retirement 60-64,WA,Cash,995647,77417,Y,Medium,N,N,1
MBR-500297,Pre-retirement 60-64,NZ,Sustainable,888437,18649,N,Low,N,Y,4
MBR-500298,Accumulation <35,WA,Indexed Shares,74649,5908,Y,High,N,Y,8
MBR-500299,Accumulation <35,WA,MySuper Balanced,42827,874,N,Medium,N,N,0
MBR-500300,Accumulation 35-49,SA,Growth,161687,5647,N,Low,N,N,5
MBR-500301,Accumulation 50-59,NSW,Indexed Shares,248458,16755,Y,Low,N,N,0
MBR-500302,Pre-retirement 60-64,QLD,MySuper Balanced,921208,73315,Y,Medium,N,N,4
MBR-500303,Pension 65+,SA,Indexed Shares,1441194,0,Y,High,Y,N,3
MBR-500304,Accumulation 50-59,SA,Cash,680503,50379,Y,Low,N,N,9
MBR-500305,Accumulation 50-59,SA,Growth,449288,43395,Y,Low,N,Y,6
MBR-500306,Pension 65+,SA,Sustainable,800471,0,N,Low,Y,Y,5
MBR-500307,Accumulation <35,WA,MySuper Balanced,64544,6233,N,Medium,Y,N,8
MBR-500308,Pension 65+,VIC,Indexed Shares,581460,0,Y,High,N,N,6
MBR-500309,Accumulation 35-49,NSW,Indexed Shares,113490,3686,N,Medium,N,N,2
MBR-500310,Accumulation 50-59,NSW,Growth,491701,10635,Y,Medium,N,N,7
MBR-500311,Accumulation 35-49,VIC,Growth,253840,21642,N,High,N,N,3
MBR-500312,Pension 65+,WA,Conservative,324483,0,Y,Medium,N,N,8
